1989, 2129, 189, 280, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5623_CROPED.jpg, path time not found, 0, Start 
1989.0, 2129.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5623_CROPED.jpg, path time not found, 0, Auto
1982.0, 2122.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5624_CROPED.jpg, path time not found, 0, Auto
1982.0, 2110.0, 185.0, 275.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5625_CROPED.jpg, path time not found, 0, Auto
1971.0, 2108.0, 185.0, 275.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5626_CROPED.jpg, path time not found, 0, Auto
2001.0, 2051.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5627_CROPED.jpg, path time not found, 0, Auto
2000.0, 2035.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5628_CROPED.jpg, path time not found, 0, Auto
2018.0, 1996.0, 193.0, 286.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5629_CROPED.jpg, path time not found, 0, Auto
1966.0, 2020.0, 193.0, 286.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5630_CROPED.jpg, path time not found, 0, Auto
1963.0, 1997.0, 197.0, 291.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5631_CROPED.jpg, path time not found, 0, Auto
1924.0, 2014.0, 193.0, 286.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5632_CROPED.jpg, path time not found, 0, Auto
1927.0, 2001.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5633_CROPED.jpg, path time not found, 0, Auto
1943.0, 1963.0, 185.0, 275.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5634_CROPED.jpg, path time not found, 0, Auto
1941.0, 1943.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5635_CROPED.jpg, path time not found, 0, Auto
1916.0, 1953.0, 178.0, 264.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5636_CROPED.jpg, path time not found, 0, Auto
1969.0, 1884.0, 178.0, 264.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5637_CROPED.jpg, path time not found, 0, Auto
2023.0, 1818.0, 175.0, 259.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5638_CROPED.jpg, path time not found, 0, Auto
1994.0, 1819.0, 175.0, 259.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5639_CROPED.jpg, path time not found, 0, Auto
1983.0, 1808.0, 171.0, 254.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5640_CROPED.jpg, path time not found, 0, Auto
1989.0, 1783.0, 168.0, 249.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5641_CROPED.jpg, path time not found, 0, Auto
1960.0, 1783.0, 168.0, 249.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5642_CROPED.jpg, path time not found, 0, Auto
1961.0, 1756.0, 168.0, 249.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5643_CROPED.jpg, path time not found, 0, Auto
1945.0, 1740.0, 171.0, 254.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5644_CROPED.jpg, path time not found, 0, Auto
1881.0, 1776.0, 168.0, 249.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5645_CROPED.jpg, path time not found, 0, Auto
1915.0, 1714.0, 168.0, 249.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5646_CROPED.jpg, path time not found, 0, Auto
1915.0, 1679.0, 171.0, 254.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5647_CROPED.jpg, path time not found, 0, Auto
1908.0, 1639.0, 175.0, 259.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5648_CROPED.jpg, path time not found, 0, Auto
1894.0, 1627.0, 175.0, 259.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5649_CROPED.jpg, path time not found, 0, Auto
1877.0, 1606.0, 175.0, 259.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5650_CROPED.jpg, path time not found, 0, Auto
1896.0, 1542.0, 178.0, 264.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5651_CROPED.jpg, path time not found, 0, Auto
1867.0, 1529.0, 182.0, 269.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5652_CROPED.jpg, path time not found, 0, Auto
1852.0, 1496.0, 185.0, 275.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5653_CROPED.jpg, path time not found, 0, Auto
1830.0, 1482.0, 185.0, 275.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5654_CROPED.jpg, path time not found, 0, Auto
1808.0, 1470.0, 182.0, 269.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5655_CROPED.jpg, path time not found, 0, Auto
1782.0, 1440.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5656_CROPED.jpg, path time not found, 0, Auto
1760.0, 1424.0, 189.0, 280.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5657_CROPED.jpg, path time not found, 0, Auto
1796, 909, 119, 222, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5657_CROPED.jpg, path time not found, 0, Start 
1796.0, 909.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5657_CROPED.jpg, path time not found, 0, Auto
1807.0, 866.0, 117.0, 218.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5658_CROPED.jpg, path time not found, 0, Auto
1743.0, 868.0, 112.0, 209.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5659_CROPED.jpg, path time not found, 0, Auto
1690.0, 857.0, 110.0, 205.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5660_CROPED.jpg, path time not found, 0, Auto
1658.0, 834.0, 112.0, 209.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5661_CROPED.jpg, path time not found, 0, Auto
1607.0, 818.0, 112.0, 209.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5662_CROPED.jpg, path time not found, 0, Auto
1558.0, 804.0, 117.0, 218.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5663_CROPED.jpg, path time not found, 0, Auto
1505.0, 788.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5664_CROPED.jpg, path time not found, 0, Auto
1479.0, 764.0, 117.0, 218.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5665_CROPED.jpg, path time not found, 0, Auto
1398.0, 762.0, 117.0, 218.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5666_CROPED.jpg, path time not found, 0, Auto
1336.0, 750.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5667_CROPED.jpg, path time not found, 0, Auto
1267.0, 735.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5668_CROPED.jpg, path time not found, 0, Auto
1243.0, 713.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5669_CROPED.jpg, path time not found, 0, Auto
1229.0, 714.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5670_CROPED.jpg, path time not found, 0, Auto
1238.0, 714.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5671_CROPED.jpg, path time not found, 0, Auto
1195.0, 722.0, 121.0, 226.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5672_CROPED.jpg, path time not found, 0, Auto
1206.0, 723.0, 119.0, 222.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5673_CROPED.jpg, path time not found, 0, Auto
1201.0, 730.0, 114.0, 213.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\5674_CROPED.jpg, path time not found, 0, Auto
