2067, 804, 66, 100, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4480_CROPED.jpg, path time not found, 0, Start 
1571.0, 721.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4508_CROPED.jpg, path time not found, 0, Auto
1570.0, 721.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4509_CROPED.jpg, path time not found, 0, Auto
1567.0, 719.0, 102.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4510_CROPED.jpg, path time not found, 0, Auto
1567.0, 720.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4511_CROPED.jpg, path time not found, 0, Auto
1566.0, 719.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4512_CROPED.jpg, path time not found, 0, Auto
1565.0, 719.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4513_CROPED.jpg, path time not found, 0, Auto
1564.0, 718.0, 100.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4514_CROPED.jpg, path time not found, 0, Auto
1564.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4515_CROPED.jpg, path time not found, 0, Auto
1563.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4516_CROPED.jpg, path time not found, 0, Auto
1562.0, 719.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4517_CROPED.jpg, path time not found, 0, Auto
1563.0, 720.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4518_CROPED.jpg, path time not found, 0, Auto
1561.0, 718.0, 98.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4519_CROPED.jpg, path time not found, 0, Auto
1561.0, 719.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4520_CROPED.jpg, path time not found, 0, Auto
1562.0, 720.0, 94.0, 151.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4521_CROPED.jpg, path time not found, 0, Auto
1560.0, 719.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4522_CROPED.jpg, path time not found, 0, Auto
1561.0, 719.0, 94.0, 151.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4523_CROPED.jpg, path time not found, 0, Auto
1559.0, 717.0, 96.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4524_CROPED.jpg, path time not found, 0, Auto
1559.0, 718.0, 94.0, 151.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4525_CROPED.jpg, path time not found, 0, Auto
1559.0, 718.0, 93.0, 148.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4526_CROPED.jpg, path time not found, 0, Auto
1558.0, 717.0, 94.0, 151.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4527_CROPED.jpg, path time not found, 0, Auto
1558.0, 718.0, 93.0, 148.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4528_CROPED.jpg, path time not found, 0, Auto
1558.0, 717.0, 93.0, 148.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4529_CROPED.jpg, path time not found, 0, Auto
1558.0, 718.0, 91.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4530_CROPED.jpg, path time not found, 0, Auto
1558.0, 718.0, 91.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4531_CROPED.jpg, path time not found, 0, Auto
1559.0, 720.0, 87.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4532_CROPED.jpg, path time not found, 0, Auto
1559.0, 720.0, 87.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4533_CROPED.jpg, path time not found, 0, Auto
1558.0, 718.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4534_CROPED.jpg, path time not found, 0, Auto
1557.0, 716.0, 91.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4535_CROPED.jpg, path time not found, 0, Auto
1557.0, 717.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4536_CROPED.jpg, path time not found, 0, Auto
1557.0, 716.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4537_CROPED.jpg, path time not found, 0, Auto
1557.0, 715.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4538_CROPED.jpg, path time not found, 0, Auto
1557.0, 715.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4539_CROPED.jpg, path time not found, 0, Auto
1557.0, 714.0, 89.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\side\1\4540_CROPED.jpg, path time not found, 0, Auto
