0-5cm,0.05102471114109808
0.017,"[0.6771828261840724, 0.926207382967536, 0.21092080570019445]"
0.034,"[1.6183226267107402, 2.072938744366229, 0.5936883972218816]"
0.114,"[0.7827960900260148, 0.7196387941446312, 0.9831476402037409]"
avg,1.1934213976632584
5-10cm,0.058615164038120934
0.34,"[8.00310322007019, 8.280886522490924, 0.8926576200134786]"
0.5,"[7.835573471064962, 7.843807934902959, 0.8573460785911686]"
0.61,"[6.935223725806459, 6.654889486391721, 0.992676354869769]"
1.01,"[3.276235904543438, 3.1005945268895516, 0.9674898100718877]"
avg,6.393992822109642
10-15cm,0.0615670068314076
1.01,"[73.45882930483766, 73.698197119942, 0.9324378559357448]"
1.51,"[40.48406890158969, 39.74106514416329, 0.9836633124325573]"
2.01,"[39.40622173002004, 38.71664960196588, 0.985745594042387]"
2.51,"[30.36357466422176, 30.426761208014923, 0.9574551688616656]"
3.02,"[19.108971096362872, 18.990411282419142, 0.9859525648923376]"
avg,40.0043977267653
15-20cm,0.06072362317618284
1.01,"[8.685223070502667, 9.847266285943295, -0.12104466551228205]"
2.01,"[93.30845000695287, 95.410026138432, 0.8734741458496573]"
5.01,"[102.54560823960475, 103.37377481880652, 0.9395413403537878]"
avg,93.92369980328554
