0-5cm,0.05313317027915999
0.024,"[0.5838637770109191, 0.6660777681940409, 0.738062708802714]"
0.053,"[1.3641626497726138, 1.544543597503643, 0.8281288985284099]"
0.102,"[2.5046117602313873, 2.5585300525827646, 0.9817213163083449]"
0.204,"[2.7942609896220323, 2.8697193705527537, 0.8908271108275558]"
0.5,"[2.433983219614196, 2.3326048028377517, 0.9907357474994151]"
avg,2.06567798767508
5-10cm,0.052711478451547604
0.5,"[35.55840560898745, 38.42091667449474, 0.976391874380768]"
0.704,"[29.892920186773964, 32.63604245871675, 0.8235037456176775]"
1.5,"[28.83718796299744, 28.944671079368746, 0.9996156171530917]"
1.0,"[26.436156316100902, 26.41342955982256, 0.9779094465822804]"
2.0,"[25.700681336676084, 24.62488898340168, 0.9410504662507959]"
avg,30.16369504373867
10-15cm,0.05524162941722189
1.0,"[67.7914710669935, 72.78865133232426, 0.8998173583976447]"
2.0,"[75.8310693832246, 77.38298475569573, 0.9837717410866043]"
4.0,"[92.29191403066417, 95.76103763578737, 0.9878674209577172]"
avg,82.26587907655644
15-20cm,0.051868094796322844
2.0,"[178.9061610458363, 185.4330961346081, 0.9456400551208064]"
3.0,"[164.59156383568725, 186.13907840685178, 0.8468827385685521]"
avg,185.7666395641273
25-30cm,0.06704900059036856
10.0,"[1069.4806069801725, 1770.438315405891, 0.16373696911377109]"
15.0,"[929.6681765700337, 958.893377558177, 0.8633694343622997]"
20.0,"[227.01320925673355, 234.02086161153133, 0.986975075599056]"
2.0,"[384.6372654678848, 399.2408116924618, 0.6678251907661499]"
5.0,"[498.7226947399652, 512.2767993842269, 0.8522294978596774]"
7.0,"[505.90984409358987, 537.1086087751809, 0.955295200851089]"
avg,571.3498505279446
