0-5cm,0.048072868347811416
0.015,"[1.5690080438845533, 1.6763896200644508, 0.9456365339911494]"
0.05,"[1.7936128688807256, 2.309892807485612, 0.8920171347641557]"
0.085,"[4.341982127031033, 5.317930747239585, 0.9615090316496364]"
0.114,"[7.534212746184136, 8.312814787062068, 0.9674730858033015]"
0.278,"[6.2967035589707185, 6.881436439119185, 0.9386215490609428]"
0.34,"[4.704210397400866, 5.054397562479172, 0.8921700881625307]"
0.5,"[4.62955948879035, 4.92707753735965, 0.8202928949283335]"
avg,4.956818654969462
5-10cm,0.06915745972843046
0.5,"[17.014533735374165, 19.31062007548166, 0.8064631968827003]"
1.0,"[8.758957511224928, 10.080561228483935, 0.7568658249345366]"
2.0,"[10.433676903513074, 10.695741043117927, 0.9540124483417808]"
3.0,"[7.369956318435571, 7.221960611954934, 0.9860884453500727]"
avg,11.568177380128137
10-15cm,0.07126591886649236
1.0,"[28.787194865194333, 31.345451271139517, 0.7147532260037719]"
2.0,"[48.98587815471793, 64.3985098470657, 0.5098659558918989]"
5.0,"[34.999962083029935, 35.73952656119414, 0.9472590578335668]"
7.0,"[22.1697612114387, 22.083223083432287, 0.9990663929163776]"
avg,35.054559244304755
15-20cm,0.0615670068314076
10.0,"[101.02522674271924, 100.87155791304842, 0.9867115514425717]"
2.0,"[83.48203422212055, 105.84322977741293, 0.23392576036813795]"
5.0,"[143.5742456806772, 180.58853615739486, 0.30554546293818696]"
avg,117.59312204357886
20-25cm,0.06915745972843046
10.0,"[86.49343415377513, 94.28349583052898, 0.8384231536397393]"
15.0,"[85.77497242542833, 88.30175385605762, 0.8919965491888255]"
5.0,"[211.85755943864922, 293.6290113604701, 0.5569212132509807]"
avg,140.4873880543654
