0-5cm,0.04554271738213713
0.05,"[1.9360700018544994, 1.9083407467923221, 0.810723428481508]"
0.076,"[2.37189630929915, 2.418549557793556, 0.7641980385177016]"
0.106,"[1.6325993091679676, 1.5375043853220867, 0.9772534270549507]"
avg,1.9191156617647567
5-10cm,0.04722948469258666
0.106,"[18.18857056606123, 17.60507154763219, 0.835192211397412]"
0.33,"[43.91208618865507, 43.07129970906475, 0.9021836128498992]"
0.5,"[38.524626155926875, 44.03269111313621, 0.8900878459907436]"
0.66,"[41.70197103349435, 41.137353524190495, 0.9781543706064701]"
1.0,"[52.949704864955386, 52.22736901833633, 0.9901391942755774]"
2.5,"[19.115445600921838, 19.4584971966444, 0.9860460995631849]"
2.0,"[45.64489294309942, 45.011028127577354, 0.999399885035603]"
avg,37.81631308446449
10-15cm,0.056928396727671415
2.0,"[133.73257072425903, 129.12236566252253, 0.99018553126483]"
4.0,"[112.66832254424241, 110.41403290964931, 0.9975571928720669]"
5.0,"[65.94992111190294, 65.90671700454938, 0.988394320090876]"
avg,101.85728385587183
15-20cm,0.06114531500379522
2.0,"[109.77754563969889, 109.19017748691235, 0.9959329575933775]"
5.0,"[85.32113824990014, 90.23361113830657, 0.9868772431099093]"
7.0,"[76.04007978099499, 83.84004690577206, 0.9678583681870909]"
avg,94.53480737504778
35-40cm,0.07632622079784093
20.0,"[331.0282436699033, 322.62966223454083, 0.9880090592649667]"
avg,322.62966223454083
