0-5cm,0.0375
0.33,"[6.62537799053184, 6.7600525436474275, 0.9145328855759802]"
avg,6.760052544
5-10cm,0.04
1,"[52.8213171670092, 53.33653651037925, 0.9740342277230833]"
avg,53.33653651
10-15cm,0.045
2,"[33.765778981198594, 40.02579650253552, 0.9132211774647947]"
avg,40.025
15-20cm,0.0475
5,"[65.30083250114504, 69.93229361042658, 0.9730334461603467]"
avg,69.93229361
