0-5cm,0.05048076923076923
0.33,"[11.127847699753344, 13.768514625198087, 0.7833294474399431]"
avg,13.768514625198087
0-5cm,0.4
0.33,"[0.002822767211932176, 0.0034926171368796694, 0.783329447439943]"
avg,0.003492617136879669
0-5cm,0.04
0.33,"[28.262103338587927, 34.965761246966906, 0.7831710981224131]"
avg,34.965761246966906
5-10cm,0.045
1.0,"[39.46984645092738, 41.963598786190225, 0.9450774184520695]"
avg,41.963598786190225
10-15cm,0.625
2.0,"[0.003669144530480632, 0.004884467069622508, 0.6841339930640045]"
avg,0.004884467069622508
10-15cm,0.075
2.0,"[17.713326524260037, 23.571863988910604, 0.6853281256115553]"
avg,23.5718639889106
10-15cm,0.0625
2.0,"[35.85483550267943, 47.24992321011043, 0.5192920953872548]"
avg,47.24992321011043
15-20cm,0.06
5.0,"[106.62947513628426, 131.465140613676, 0.7979267477308449]"
avg,131.465140613676
