0-5cm,0.04427764189929999
0.015,"[0.5886544992276422, 1.4314592316851098, -0.6630047402640626]"
avg,1.4314592316851098
0-5cm,0.04638610103736189
0.015,"[0.6762736312617221, 0.9531356479408667, -0.04517033055126844]"
avg,0.9531356479408667
5-10cm,0.04849456017542379
0.085,"[1.2552079218723913, 1.6529205586078144, 0.6978251523840997]"
0.106,"[1.8694854300793853, 2.961034248826989, 0.5171607073666142]"
avg,2.209721278484919
10-15cm,0.048072868347811416
0.278,"[94.4339881626205, 102.78561095203239, 0.8859278758354139]"
0.34,"[72.89610703290643, 177.65252206583602, 0.23076787940751642]"
0.5,"[58.13676949655301, 64.80306866068469, 0.6817903174944794]"
0.67,"[87.75834625646017, 88.21229938596991, 0.9927221208624315]"
1.0,"[108.51021213200305, 108.6952879495018, 0.9901860280524737]"
2.0,"[77.12341473831151, 78.7569244182932, 0.9982100847966533]"
3.0,"[23.85187683432287, 23.731886752260905, 0.9784050075630931]"
avg,82.19393580787667
15-20cm,0.04722948469258666
1.0,"[72.3021021249437, 71.25022862723269, 0.9564942526033959]"
2.0,"[114.46865350995954, 108.13547484662882, 0.9620848556120577]"
4.0,"[126.80690069148733, 124.80624675404681, 0.9599871821969841]"
5.0,"[183.0203438305346, 229.3153182718548, 0.343004659372936]"
avg,115.05397907890641
25-30cm,0.05313317027915999
10.0,"[111.80951977208757, 119.27671446556622, 0.9518474664004437]"
5.0,"[228.8203341873336, 253.55074971830734, 0.936546676849243]"
avg,185.8697517044375
