10-15cm,0.0506030193134857
1.0,"[45.67072982502977, 56.440935210311636, -0.3011408903301749]"
2.0,"[103.20156872186519, 124.48291146592496, 0.1555282476696081]"
3.0,"[61.76922545324418, 73.15592324187675, 0.820938206990178]"
avg,81.33111092861213
15-20cm,0.04933794383064856
2.0,"[157.5997669652439, 149.81827151011802, 0.9924046279944472]"
4.0,"[166.15466602318304, 167.60039597330498, 0.992750278336556]"
avg,158.71088183183397
35-40cm,0.06620561693514379
10.0,"[349.92899613336704, 347.65077055671964, 0.9253687086919998]"
20.0,"[337.52565041336356, 332.8076799657876, 0.9050454831945987]"
30.0,"[89.19330784785151, 95.40927348043444, 0.9308317097404857]"
5.0,"[233.73314754971108, 254.01469178211914, 0.926072123331797]"
avg,256.81460830787694
