0-5cm,0.0506030193134857
0.017,"[2.2849314291552862, 4.59276672875016, -0.26966409694790244]"
0.085,"[1.2627089935578393, 1.5929956658939988, 0.8950707972843785]"
avg,1.5929956658939988
5-10cm,0.04722948469258666
0.34,"[15.039346426196648, 13.571786863152749, 0.9514845703186023]"
0.5,"[22.064912618424025, 21.217558030484856, 0.9563993286474203]"
0.68,"[26.87865685524408, 25.72058775530897, 0.9463183673424231]"
1.0,"[32.778595658343164, 31.495781356417204, 0.9951082136355757]"
2.0,"[25.640780325521227, 24.50473155447204, 0.992366740793901]"
avg,23.38137277801755
10-15cm,0.05018132748587332
1.0,"[51.19638156582473, 52.76879120830661, 0.31746133668216525]"
2.0,"[114.24147369770635, 106.09624079063397, 0.9264618904705322]"
3.0,"[99.38711900438565, 98.61917868359573, 0.9840643831697544]"
5.0,"[96.22677770778381, 96.19889027881561, 0.9950939397457335]"
avg,95.5051009388767
35-40cm,0.05988023952095808
10.0,"[447.76166785368326, 535.8065852046573, 0.8611973325389075]"
15.0,"[396.22049774646183, 523.6209242865273, 0.6173224262130013]"
5.0,"[148.93881938913373, 138.66806905267828, 0.6000229832706404]"
avg,417.54357620971973
45-50cm,0.07379606983216665
10.0,"[247.0945389210936, 424.43669317075023, 0.7188568327318006]"
15.0,"[663.6189268365133, 782.6713657983767, 0.8215180973616392]"
20.0,"[439.6832061486524, 591.9259099707976, 0.5177606437345031]"
30.0,"[326.8882034916139, 363.3277122788079, 0.8666543438605041]"
avg,536.6003824846752
