5-10cm,0.0425
1.0,"[9.869215594373923, 10.433136903421477, 0.9671195261584403]"
avg,10.433136903421477
10-15cm,0.0475
2.0,"[83.58228370605222, 118.83997384686134, 0.4221375037030721]"
avg,118.83997384686134
15-20cm,0.055
3.0,"[37.84248252700767, 38.36145295725624, 0.9726589439914347]"
avg,38.36145295725624
15-20cm,0.05
3.0,"[55.47255032843606, 56.220362428487576, 0.9731907044637651]"
avg,56.220362428487576
10-15cm,0.05
2.0,"[65.80683680552414, 71.49940020282476, 0.8634862193037033]"
avg,71.49940020282476
