0-5cm,0.054819937589609506
0.114,"[1.1086998815579268, 1.1067834862633281, 0.9900860081445847]"
avg,1.1067834862633281
5-10cm,0.05228978662393522
0.278,"[8.516651310366424, 11.023967198844197, 0.7721607887642682]"
0.34,"[4.319450448680736, 4.809801717152942, 0.835430715239343]"
0.5,"[3.842998674219253, 3.862054229050213, 0.9885213770689437]"
avg,6.297204786547268
10-15cm,0.0506030193134857
0.5,"[39.90261940322278, 39.66568947401429, 0.9941808035901053]"
0.84,"[48.63307865867897, 49.28768909198791, 0.9573508885820824]"
1.01,"[50.42545742623854, 54.749654205071046, 0.9485771203140924]"
1.5,"[43.82953401794353, 42.173124354636904, 0.9919803706968706]"
2.0,"[46.95985301193877, 47.073575784712446, 0.9950720724237092]"
avg,46.495552237240794
15-20cm,0.049759635658260935
1.0,"[96.26981853859033, 91.49623283203502, 0.9408302558152396]"
2.0,"[149.01213585231304, 139.15445602108412, 0.9754786259377466]"
3.0,"[160.28794309624394, 154.528134294142, 0.9873489122784436]"
avg,128.94005890617763
35-40cm,0.08476005735008854
10.0,"[227.4225308708262, 248.80751424433063, 0.9278760077125984]"
15.0,"[81.80379137405987, 129.9654483888054, -0.28970059288627925]"
20.0,"[100.35851600915164, 154.71177288296974, 0.7868180554564868]"
30.0,"[220.60270750029923, 379.85254554766857, -0.12005561861629106]"
40.0,"[138.41246544391674, 182.06481328183153, 0.588479756319569]"
avg,199.60890158019342
