0-5cm,0.04849456017542379
0.114,"[3.9633348216052906, 4.8950823330385305, 0.22010288136959483]"
0.278,"[5.526823170995161, 7.35948046252843, 0.5327588582525924]"
0.38,"[2.5914152543882887, 2.5599115416243445, 0.9007559125701572]"
avg,4.417046214814599
5-10cm,0.045964409209749514
0.66,"[32.09335603756871, 33.78460804130631, 0.9210685171271262]"
0.944,"[14.340210777724849, 14.124523065152662, 0.9598428926563115]"
1.115,"[16.35203677213376, 15.959520826347928, 0.9902852885018048]"
avg,21.0642972070025
15-20cm,0.05988023952095808
3.0,"[214.07452654833733, 315.21218444551374, 0.6258502769914298]"
5.0,"[177.64544118427108, 185.566434412162, 0.8148480220948658]"
7.0,"[141.3533305055846, 307.36467140085136, -0.790795317513364]"
avg,241.88553232502406
10-15cm,0.046807792864974274
1.01,"[54.89124313727549, 51.189450579564, 0.5697535255518913]"
1.5,"[80.21673560538426, 76.66485334148008, 0.3633719456658058]"
2.0,"[72.97936579315524, 85.31215403175383, -0.12002095666272827]"
3.0,"[269.72780700005023, 523.7398695928554, -0.738212734931976]"
avg,61.109924249774025
