0-5cm,0.04259087458885046
0.052,"[1.7767021189911383, 2.131727033191357, 0.2844400745280992]"
avg,2.131727033191357
5-10cm,0.04638610103736189
0.052,"[3.932048492625957, 4.975667238858058, 0.6137336912619589]"
0.086,"[4.961554974577164, 4.999318055495482, 0.9124258876436625]"
0.112,"[5.527263420694552, 5.840859920789716, 0.8166513778636908]"
0.154,"[3.7081987476791887, 4.659272930340656, 0.5201954116795595]"
0.34,"[4.140205893665223, 4.138511284712769, 0.9298359421832367]"
avg,4.919017335653279
15-20cm,0.056928396727671415
0.34,"[110.39138111410747, 113.36952534599341, 0.9011276584908504]"
0.5,"[114.983372483808, 122.97306870571511, 0.5395992310780214]"
1.5,"[148.68060283733246, 140.10647714970537, 0.7948608526657565]"
1.0,"[114.20340094192234, 109.26672734837213, 0.8625357476434432]"
2.5,"[100.58241789948644, 102.70385071438282, 0.8972653217637094]"
2.0,"[137.371278961568, 139.46903581667655, 0.9092370105104883]"
3.0,"[42.180579636825634, 42.96984007249816, 0.9783542154997925]"
avg,107.96075006969882
35-40cm,0.05018132748587332
10.0,"[348.48684298693325, 376.6704141766488, 0.9873143321727322]"
5.0,"[429.93464633608943, 463.8200277427539, 0.8848943064945419]"
avg,417.8614413223958
45-50cm,0.07379606983216665
20.0,"[1493.4822738030098, 1478.8290895479859, 0.7502268909423278]"
40.0,"[385.9024048342964, 458.63053775184255, 0.8025692592605088]"
avg,951.5351521520694
