5-10cm,0.04259087458885046
0.034,"[4.148847055458164, 3.5691355838944854, 0.8759394877165076]"
0.278,"[14.082972183265554, 20.53099749849167, 0.8460822398545829]"
0.5,"[22.08925824166381, 22.22976078511335, 0.8372458730428141]"
1.01,"[14.059674164151918, 12.586109214200533, 0.9571726464275635]"
avg,14.547698948903683
10-15cm,0.046807792864974274
1.01,"[84.13662401701333, 99.12407249092199, 0.7958699721879132]"
2.01,"[52.109692947122305, 53.21597597440303, 0.9657026722225006]"
3.02,"[24.38262634326437, 25.129327759255478, 0.9986027452277575]"
avg,56.291675988894575
15-20cm,0.05018132748587332
1.01,"[240.74544740436656, 256.7611031239102, 0.9507243782692071]"
2.01,"[157.06750202067008, 176.75253455506666, 0.9445358482123887]"
3.01,"[87.59049465124092, 92.70781515515165, 0.9931780108930512]"
avg,174.18877171083147
