0-5cm,0.05018132748587332
0.052,"[2.509817794607509, 2.392420126705834, 0.8627304997351528]"
0.106,"[1.4267008554312997, 1.4072623633271573, 0.8838016614534614]"
0.158,"[1.7811098178942715, 1.5999432085938077, 0.9624399718479972]"
avg,1.7894624547142701
5-10cm,0.05144640296871046
0.106,"[32.929172313777016, 46.77679811835154, 0.6298915085469239]"
0.278,"[33.30816113745595, 42.8251824184204, 0.8882728265235351]"
0.34,"[9.93048520429319, 10.598341304645082, -0.017540694569355045]"
0.5,"[17.58389570728091, 18.241221756821762, 0.982747758979707]"
0.778,"[13.217638513419951, 13.494020140735884, 0.9867371938821173]"
1.01,"[12.036965238846863, 13.326724699440927, 0.9610342830791263]"
avg,25.075679731328904
10-15cm,0.05903685586573332
1.01,"[92.63639563094533, 92.80596636508666, 0.9983921135749898]"
2.01,"[81.01897422356022, 125.94004094108348, 0.5813157252781271]"
3.02,"[43.094141114558454, 44.421039830321305, 0.9712807719404681]"
3.53,"[40.29828338900517, 39.847825091736524, 0.8740351278635832]"
avg,71.19406769553291
15-20cm,0.05735008855528379
1.01,"[91.8079889936086, 100.7111127087645, 0.672706421827323]"
2.01,"[165.26600422141937, 184.43363939805903, 0.635075968521941]"
3.02,"[106.59414083324477, 107.64175914785777, 0.8926855529005582]"
5.01,"[78.25496043795971, 79.75033380651301, 0.9675726703895922]"
avg,113.04554292049106
35-40cm,0.07000084338365521
10.0,"[727.8709502904874, 778.4888570809629, 0.8099562198832924]"
15.0,"[1110.6188437487385, 1256.0084589959843, 0.8567024271072425]"
20.0,"[55.981871179177176, 78.01512822100304, 0.9207294090888691]"
5.0,"[324.0930729239477, 504.0817088885557, 0.3274059120870835]"
avg,666.7495414731259
