5-10cm,0.04554271738213713
0.017,"[1.1989819628708434, 1.6237012088598695, 0.48630541353291024]"
0.034,"[2.6903996468518034, 4.447333392675006, 0.15466448037799996]"
0.114,"[4.832898818954335, 5.802696879801129, 0.6223045482319145]"
0.278,"[7.911874108142419, 11.032759251242982, 0.849820141424005]"
0.34,"[7.7861043255912055, 8.229103873791264, 0.8052223999699917]"
0.5,"[9.540329725364705, 9.471571152988387, 0.9925719578534129]"
avg,7.7966518698587635
10-15cm,0.054819937589609506
0.034,"[6.510104214411076, 13.7369309441453, 0.007175934882414113]"
0.114,"[29.008495258204615, 36.42308942878244, 0.6761988043745517]"
0.278,"[22.3249810162845, 38.52990289660527, 0.7422435587074039]"
0.34,"[59.37524697141819, 57.196419660328885, 0.9328614587887305]"
0.5,"[48.909953731182384, 47.102684913195525, 0.9293660903785305]"
0.67,"[30.401259192175907, 35.082007281754784, 0.519430158342645]"
1.0,"[39.694861717958744, 39.58042804635366, 0.7170114677432883]"
2.0,"[39.76334893627423, 41.12409233067488, 0.9395568693271588]"
avg,43.137954298491366
15-20cm,0.05566332124483427
0.5,"[37.34044592626561, 36.31104989047774, 0.9247310256438096]"
1.01,"[62.33092096314724, 57.08495005123872, 0.9707950725318644]"
2.01,"[71.41141796837945, 73.1087733658641, 0.9874240602410327]"
avg,55.90977839088961
