0-5cm,0.04469933372691237
0.024,"[2.804943967429364, 3.477938411985394, 0.7274130417122247]"
0.053,"[1.630534753631639, 1.7507509358624356, 0.8507022433733769]"
0.102,"[2.224539673468235, 2.2763562822337597, 0.8484893597174368]"
0.204,"[2.4524363396431075, 2.327937968193487, 0.9307060916288855]"
avg,2.417814815925075
5-10cm,0.049759635658260935
0.204,"[11.7237437688078, 19.014648411306595, 0.2862842252915683]"
0.5,"[5.344689474678383, 5.5889572505612275, 0.933153763264141]"
avg,8.740871188809225
10-15cm,0.049759635658260935
1.0,"[269.262239508198, 325.5680926106657, 0.5216021275248218]"
2.0,"[102.30988121633625, 105.93828052995337, 0.8330330538540506]"
3.0,"[78.75138309455518, 78.84782158229415, 0.9641258855670879]"
4.0,"[83.10774134248088, 82.26788511726983, 0.962853139401639]"
avg,125.94357239664491
15-20cm,0.053554862106772363
2.0,"[351.8383271672186, 367.2535951602437, 0.9708715976495079]"
3.0,"[458.68962535883963, 449.06846002844736, 0.9181586928180774]"
5.0,"[194.3586613405777, 194.8629412875541, 0.9963002058778252]"
7.0,"[134.22111367423196, 139.49314403213515, 0.973991863959929]"
avg,284.73376106436365
