0-5cm,0.04849456017542379
0.052,"[0.8049293008051746, 0.7164401741257351, 0.899179852700065]"
avg,0.7164401741257351
5-10cm,0.049759635658260935
0.106,"[11.104809364283021, 11.382105391438888, 0.7077963404304677]"
0.278,"[19.78050189950773, 19.82260657504997, 0.9284749056416612]"
0.33,"[9.257613074707871, 9.031536234224388, 0.9620649264394565]"
0.5,"[29.77355638295616, 28.638994718954773, 0.9856377900133132]"
1.5,"[16.444750145765084, 15.868135025546428, 0.9095677801558693]"
1.0,"[18.896655264489542, 19.251985652763093, 0.8109591179213442]"
avg,17.61208549612679
10-15cm,0.0594585476933457
1.0,"[77.6792118977329, 81.59659844841605, 0.7951085411285097]"
2.0,"[41.02394204077092, 39.70675288752481, 0.9858803101278935]"
3.0,"[36.11056242820639, 34.58192521502917, 0.9916059878855477]"
4.0,"[32.03255858468434, 31.429026597352813, 0.8963337402271927]"
avg,45.37749800255269
15-20cm,0.05988023952095808
2.0,"[93.9551473726555, 96.48575061508383, 0.7639419986485689]"
5.0,"[113.02825060980723, 114.47609862495048, 0.9622717435562398]"
7.0,"[84.36279064791687, 85.47371979416071, 0.9626369038261642]"
avg,98.98161861811045
35-40cm,0.0834949818672514
10.0,"[141.79075901839332, 149.12566258916053, 0.917119524232006]"
20.0,"[183.64252432933165, 196.94909547425493, 0.7406080689823636]"
40.0,"[205.63304808062298, 212.1577388521543, 0.7431711469404834]"
avg,183.3886822308139
