0-5cm,0.0417474909336257
0.034,"[5.864001080713698, 16.594153873140844, -0.3045675697187887]"
0.068,"[12.620850060533405, 17.58414636746064, 0.5590360061433657]"
0.114,"[3.329384084060907, 3.4637446190507313, 0.7319423947369239]"
avg,10.917562969415636
5-10cm,0.045964409209749514
0.114,"[31.266671333919405, 59.23190486016344, 0.0593328652548452]"
0.278,"[43.63927192282083, 79.85475495894323, 0.6630566897120191]"
0.34,"[33.890569682809726, 41.018722710662495, 0.9211833453972167]"
0.5,"[23.252672006427797, 26.60132504010677, 0.981501309536428]"
0.67,"[18.652720902470048, 19.179147699740128, 0.9950212115821564]"
1.01,"[15.376995158584181, 16.127190071420248, 0.9408401649936133]"
avg,33.899710202207686
10-15cm,0.05524162941722189
1.01,"[98.0722343322186, 143.7428999675534, 0.3406181656202321]"
1.51,"[75.58628815249577, 78.74818732947843, 0.826228901939057]"
2.01,"[50.8203917735766, 51.2643614626164, 0.9383070713123953]"
3.02,"[18.15771956806489, 18.498043239031126, 0.9891354850993104]"
avg,58.30878069602855
15-20cm,0.05608501307244665
2.01,"[281.55754344749204, 394.43952282546957, 0.9009770667156334]"
3.02,"[162.00657126703535, 168.89303912249727, 0.9918690822701055]"
5.01,"[65.57832165511138, 68.41951876713323, 0.9841056354702129]"
avg,205.15908023629197
