0-5cm,0.04722948469258666
0.05,"[2.9763831886980245, 2.941078505316662, 0.8689720305187536]"
0.076,"[3.5813711372610038, 3.7334132775057505, 0.7906409344072343]"
0.106,"[2.0072521514282498, 2.1211148776423197, 0.8868162482121342]"
avg,2.9015310626475044
5-10cm,0.05650670490005903
0.33,"[13.21222851318581, 13.826548322694398, 0.8262950181616844]"
0.67,"[18.09895455642416, 18.179237144429973, 0.8690642267560136]"
1.33,"[9.539741243711832, 9.331982088607838, 0.9069022359265454]"
1.0,"[10.115175524163556, 9.549621809836065, 0.9695084299938567]"
avg,12.58350007447158
10-15cm,0.05903685586573332
1.0,"[57.351879848540854, 59.47727879406545, 0.9737922426685403]"
2.0,"[52.132916856019655, 53.53612672068166, 0.9808753003212896]"
3.0,"[58.53885464603015, 62.37134497754577, 0.94882526973438]"
4.0,"[38.828681841225546, 40.08784292690714, 0.996367131509799]"
avg,53.7333384695576
15-20cm,0.058615164038120934
2.0,"[74.0656422389417, 72.52815975986195, 0.9521745246751439]"
5.0,"[90.59722589358392, 90.83958734675382, 0.9917004862682777]"
7.0,"[61.108088076711944, 63.79618868586381, 0.9941534868084794]"
avg,75.75431367889767
35-40cm,0.07210930252171713
10.0,"[593.5691486387115, 628.2130099341896, 0.9689250804296237]"
15.0,"[393.18553059161036, 406.0138651082985, 0.9690046815299476]"
20.0,"[287.9941585785837, 286.3214302659994, 0.898720425429089]"
30.0,"[164.16874366140814, 176.47219100420287, 0.9891503220272821]"
5.0,"[605.805030880229, 1275.55424930589, -0.337626045822092]"
avg,374.82380899968587
