0-5cm,0.049759635658260935
0.015,"[0.6427997007845714, 0.6863943983810578, 0.9454488146991316]"
0.106,"[1.630481309430071, 1.4934092580094072, 0.9035359879206211]"
0.121,"[2.455713926930626, 2.4712213142801702, 0.9264270347594228]"
0.278,"[3.7617675760142983, 3.8200470559715227, 0.7116978200447668]"
avg,2.0092356893281518
5-10cm,0.05735008855528379
0.278,"[24.477084111734044, 26.9029110863543, 0.9578609837325758]"
0.33,"[15.813297248903075, 21.86209156386545, -0.442167582946605]"
0.5,"[7.152923802127937, 7.2757579816377564, 0.2865705615656927]"
0.778,"[15.058286604014604, 14.93885574965172, 0.9776295427026618]"
1.01,"[15.099341832394845, 26.079978861755894, -0.6219604832532282]"
avg,19.107905661716273
10-15cm,0.05735008855528379
1.01,"[14.577397160807728, 15.349590053177272, -0.04987643462773918]"
2.01,"[97.56243554459252, 105.10245876869601, 0.9427245053010906]"
3.02,"[98.10485300179573, 104.63842152688171, 0.9703825311072983]"
5.01,"[82.27596494895926, 79.23452313341079, 0.7515704438881452]"
avg,97.63743921259294
15-20cm,0.05819347221050856
2.01,"[87.037147710916, 88.49486119659187, 0.8752446967855225]"
3.02,"[123.99949447921632, 124.34959030256711, 0.9471088283578605]"
5.01,"[120.51929991124254, 123.4526094944805, 0.9886671415199986]"
7.02,"[103.0181579969984, 104.74231506453378, 0.9984554474233696]"
avg,110.73998463131898
35-40cm,0.08602513283292569
10.0,"[576.5113911410735, 971.7529757739694, -0.1682186232126602]"
15.0,"[157.04208875361837, 158.13377475294476, 0.9615776332992791]"
20.0,"[161.73437556013897, 212.61476568604974, 0.5063995990936077]"
5.0,"[273.8148858488856, 280.0192897245058, 0.9737226413513095]"
avg,218.0395146516904
