0-5cm,0.051868094796322844
0.034,"[3.5941812112377876, 6.470894986214962, 0.2962608154489524]"
0.114,"[2.857446116169084, 2.6160636988054, 0.926827802855076]"
avg,3.5497944551341383
5-10cm,0.06325377414185712
0.114,"[3.496385278126117, 3.3139432004748164, 0.9707748010995771]"
0.278,"[3.7811377543936597, 5.9425639613538666, 0.6485069269831327]"
0.34,"[5.979121458770823, 6.320784320136357, 0.9853791573500573]"
0.5,"[5.284211675645386, 6.079417066198066, 0.6646267846648768]"
0.67,"[4.0049306406002145, 4.204174486589065, 0.9671786675003311]"
1.01,"[3.509593502223791, 3.7359766608355702, 0.9863833944515612]"
avg,4.804099963474286
10-15cm,0.05819347221050856
0.67,"[10.828668844082756, 16.975583906935938, 0.13602537316139401]"
1.01,"[16.48127843929982, 23.89553414293864, 0.27750823480775]"
1.5,"[20.97960975139178, 25.452075912644954, 0.5547473110947061]"
2.01,"[21.966459259349627, 27.21309630811923, 0.6638023630060697]"
3.01,"[21.583175127253277, 25.2334820331513, 0.7030613175968706]"
avg,25.20811391205155
15-20cm,0.057771780382896175
1.01,"[123.35900687416968, 192.4684348828545, 0.5900241051793909]"
2.01,"[185.00248927048582, 195.37211776289837, 0.9704585726919522]"
3.01,"[276.8539306052669, 360.9114718112167, 0.6271193161852653]"
avg,242.04408272585738
