2494.0, 2828.0, 70.0, 64.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0015.JPG, 05-09 19:35:52, 0, Auto
2338.0, 2813.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0015.JPG, 05-09 19:35:52, 1, Auto
2494.0, 2828.0, 69.0, 63.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0016.JPG, 05-09 19:36:22, 0, Auto
2348.0, 2808.0, 78.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0016.JPG, 05-09 19:36:22, 1, Auto
2496.0, 2829.0, 67.0, 62.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0017.JPG, 05-09 19:36:52, 0, Auto
2347.0, 2807.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0017.JPG, 05-09 19:36:52, 1, Auto
2496.0, 2828.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0018.JPG, 05-09 19:37:22, 0, Auto
2345.0, 2807.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0018.JPG, 05-09 19:37:22, 1, Auto
2497.0, 2827.0, 66.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0019.JPG, 05-09 19:37:52, 0, Auto
2346.0, 2807.0, 79.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0019.JPG, 05-09 19:37:52, 1, Auto
2496.0, 2825.0, 67.0, 62.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0020.JPG, 05-09 19:38:22, 0, Auto
2351.0, 2802.0, 81.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\61\side\n\DSC_0020.JPG, 05-09 19:38:22, 1, Auto
