1814, 1583, 111, 107, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9361.JPG, 16-06 20:26:22, 0, Start 
1831, 1229, 59, 39, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9361.JPG, 16-06 20:26:22, 1, Start 
1814.0, 1583.0, 111.0, 107.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9361.JPG, 16-06 20:26:22, 0, Auto
1831.0, 1229.0, 59.0, 39.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9361.JPG, 16-06 20:26:22, 1, Auto
1812.0, 1581.0, 113.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9362.JPG, 16-06 20:26:52, 0, Auto
1831.0, 1229.0, 59.0, 39.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9362.JPG, 16-06 20:26:52, 1, Auto
1811.0, 1580.0, 113.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9363.JPG, 16-06 20:27:22, 0, Auto
1830.0, 1229.0, 59.0, 39.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9363.JPG, 16-06 20:27:22, 1, Auto
1809.0, 1579.0, 113.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9364.JPG, 16-06 20:27:52, 0, Auto
1831.0, 1230.0, 57.0, 37.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9364.JPG, 16-06 20:27:52, 1, Auto
1807.0, 1577.0, 113.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9365.JPG, 16-06 20:28:22, 0, Auto
1830.0, 1229.0, 59.0, 39.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9365.JPG, 16-06 20:28:22, 1, Auto
1805.0, 1576.0, 113.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9366.JPG, 16-06 20:28:52, 0, Auto
1831.0, 1230.0, 58.0, 38.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\37\side\3\DSC_9366.JPG, 16-06 20:28:52, 1, Auto
