3033, 1247, 38, 59, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8150.JPG, 25-08 00:40:04, 0, Start 
3120, 1469, 90, 136, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8150.JPG, 25-08 00:40:04, 1, Start 
3033.0, 1246.0, 39.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8150.JPG, 25-08 00:40:04, 0, Auto
3120.0, 1469.0, 90.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8150.JPG, 25-08 00:40:04, 1, Auto
3033.0, 1247.0, 38.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8151.JPG, 25-08 00:40:34, 0, Auto
3119.0, 1469.0, 90.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8151.JPG, 25-08 00:40:34, 1, Auto
3030.0, 1246.0, 38.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8152.JPG, 25-08 00:41:04, 0, Auto
3118.0, 1468.0, 90.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8152.JPG, 25-08 00:41:04, 1, Auto
3028.0, 1244.0, 39.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8153.JPG, 25-08 00:41:34, 0, Auto
3118.0, 1471.0, 87.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8153.JPG, 25-08 00:41:34, 1, Auto
3027.0, 1244.0, 39.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8154.JPG, 25-08 00:42:04, 0, Auto
3118.0, 1471.0, 87.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8154.JPG, 25-08 00:42:04, 1, Auto
3026.0, 1244.0, 38.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8155.JPG, 25-08 00:42:34, 0, Auto
3117.0, 1470.0, 87.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8155.JPG, 25-08 00:42:34, 1, Auto
3025.0, 1243.0, 38.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8156.JPG, 25-08 00:43:04, 0, Auto
3117.0, 1471.0, 85.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8156.JPG, 25-08 00:43:04, 1, Auto
3026.0, 1246.0, 34.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8157.JPG, 25-08 00:43:34, 0, Auto
3115.0, 1471.0, 85.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8157.JPG, 25-08 00:43:34, 1, Auto
3023.0, 1245.0, 35.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8158.JPG, 25-08 00:44:04, 0, Auto
3116.0, 1472.0, 83.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\52\side\1\DSC_8158.JPG, 25-08 00:44:04, 1, Auto
