2775, 2856, 163, 159, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6070.JPG, 25-05 17:50:02, 0, Start 
3744, 1981, 244, 141, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6070.JPG, 25-05 17:50:02, 1, Start 
2775.0, 2856.0, 163.0, 159.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6070.JPG, 25-05 17:50:02, 0, Auto
3744.0, 1982.0, 244.0, 141.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6070.JPG, 25-05 17:50:02, 1, Auto
2772.0, 2853.0, 166.0, 162.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6071.JPG, 25-05 17:50:32, 0, Auto
3710.0, 1988.0, 225.0, 130.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6071.JPG, 25-05 17:50:32, 1, Auto
2764.0, 2845.0, 180.0, 176.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6072.JPG, 25-05 17:51:02, 0, Auto
3670.0, 1991.0, 221.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6072.JPG, 25-05 17:51:02, 1, Auto
2761.0, 2842.0, 184.0, 179.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6073.JPG, 25-05 17:51:32, 0, Auto
3622.0, 1992.0, 225.0, 130.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6073.JPG, 25-05 17:51:32, 1, Auto
2761.0, 2842.0, 184.0, 179.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6074.JPG, 25-05 17:52:02, 0, Auto
3583.0, 1995.0, 217.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6074.JPG, 25-05 17:52:02, 1, Auto
2761.0, 2842.0, 184.0, 179.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6075.JPG, 25-05 17:52:32, 0, Auto
3540.0, 1997.0, 217.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6075.JPG, 25-05 17:52:32, 1, Auto
2762.0, 2842.0, 184.0, 179.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6076.JPG, 25-05 17:53:02, 0, Auto
3502.0, 2003.0, 212.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6076.JPG, 25-05 17:53:02, 1, Auto
2765.0, 2845.0, 180.0, 176.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6077.JPG, 25-05 17:53:32, 0, Auto
3450.0, 2003.0, 212.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6077.JPG, 25-05 17:53:32, 1, Auto
2767.0, 2847.0, 176.0, 172.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6078.JPG, 25-05 17:54:02, 0, Auto
3406.0, 2004.0, 221.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6078.JPG, 25-05 17:54:02, 1, Auto
2767.0, 2847.0, 176.0, 172.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6079.JPG, 25-05 17:54:32, 0, Auto
3365.0, 2007.0, 221.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6079.JPG, 25-05 17:54:32, 1, Auto
2767.0, 2847.0, 176.0, 172.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6080.JPG, 25-05 17:55:02, 0, Auto
3327.0, 2012.0, 217.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6080.JPG, 25-05 17:55:02, 1, Auto
2769.0, 2849.0, 173.0, 169.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6081.JPG, 25-05 17:55:32, 0, Auto
3283.0, 2014.0, 212.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6081.JPG, 25-05 17:55:32, 1, Auto
2769.0, 2849.0, 173.0, 169.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6082.JPG, 25-05 17:56:02, 0, Auto
3243.0, 2021.0, 204.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6082.JPG, 25-05 17:56:02, 1, Auto
2769.0, 2849.0, 173.0, 169.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\40\side\1\DSC_6083.JPG, 25-05 17:56:32, 0, Auto
