705, 2241, 123, 67, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2272.JPG, 19-05 18:08:30, 0, Start 
1769, 2298, 185, 94, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2272.JPG, 19-05 18:08:30, 1, Start 
705.0, 2241.0, 123.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2272.JPG, 19-05 18:08:30, 0, Auto
1769.0, 2298.0, 185.0, 94.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2272.JPG, 19-05 18:08:30, 1, Auto
700.0, 2240.0, 131.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2273.JPG, 19-05 18:09:00, 0, Auto
1769.0, 2299.0, 185.0, 94.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2273.JPG, 19-05 18:09:00, 1, Auto
699.0, 2240.0, 131.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2274.JPG, 19-05 18:09:30, 0, Auto
1769.0, 2298.0, 185.0, 94.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2274.JPG, 19-05 18:09:30, 1, Auto
700.0, 2240.0, 131.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2275.JPG, 19-05 18:10:00, 0, Auto
1773.0, 2300.0, 178.0, 90.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2275.JPG, 19-05 18:10:00, 1, Auto
700.0, 2240.0, 131.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\2\DSC_2276.JPG, 19-05 18:10:30, 0, Auto
