1954, 1236, 28, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1840.JPG, 05-09 17:25:24, 0, Start 
2204, 1080, 43, 57, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1840.JPG, 05-09 17:25:24, 1, Start 
1954.0, 1236.0, 28.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1840.JPG, 05-09 17:25:24, 0, Auto
2204.0, 1080.0, 43.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1840.JPG, 05-09 17:25:24, 1, Auto
1939.0, 1237.0, 28.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1841.JPG, 05-09 17:25:54, 0, Auto
2185.0, 1081.0, 41.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1841.JPG, 05-09 17:25:54, 1, Auto
1923.0, 1237.0, 27.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1842.JPG, 05-09 17:26:24, 0, Auto
2201.0, 1077.0, 43.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1842.JPG, 05-09 17:26:24, 1, Auto
1907.0, 1234.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1843.JPG, 05-09 17:26:54, 0, Auto
2204.0, 1077.0, 43.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1843.JPG, 05-09 17:26:54, 1, Auto
1890.0, 1232.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1844.JPG, 05-09 17:27:24, 0, Auto
2205.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1844.JPG, 05-09 17:27:24, 1, Auto
1872.0, 1229.0, 31.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1845.JPG, 05-09 17:27:54, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1845.JPG, 05-09 17:27:54, 1, Auto
1858.0, 1226.0, 32.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1846.JPG, 05-09 17:28:24, 0, Auto
2204.0, 1076.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1846.JPG, 05-09 17:28:24, 1, Auto
1843.0, 1226.0, 31.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1847.JPG, 05-09 17:28:54, 0, Auto
2204.0, 1076.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1847.JPG, 05-09 17:28:54, 1, Auto
1825.0, 1223.0, 32.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1848.JPG, 05-09 17:29:24, 0, Auto
2205.0, 1078.0, 43.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1848.JPG, 05-09 17:29:24, 1, Auto
1806.0, 1220.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1849.JPG, 05-09 17:29:54, 0, Auto
2204.0, 1075.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1849.JPG, 05-09 17:29:54, 1, Auto
1789.0, 1218.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1850.JPG, 05-09 17:30:24, 0, Auto
2206.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1850.JPG, 05-09 17:30:24, 1, Auto
1772.0, 1214.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1851.JPG, 05-09 17:30:54, 0, Auto
2203.0, 1075.0, 46.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1851.JPG, 05-09 17:30:54, 1, Auto
1755.0, 1211.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1852.JPG, 05-09 17:31:24, 0, Auto
2203.0, 1076.0, 46.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1852.JPG, 05-09 17:31:24, 1, Auto
1736.0, 1209.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1853.JPG, 05-09 17:31:54, 0, Auto
2205.0, 1078.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1853.JPG, 05-09 17:31:54, 1, Auto
1728.0, 1206.0, 31.0, 55.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1854.JPG, 05-09 17:32:24, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1854.JPG, 05-09 17:32:24, 1, Auto
1729.0, 1208.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1855.JPG, 05-09 17:32:54, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1855.JPG, 05-09 17:32:54, 1, Auto
1731.0, 1205.0, 30.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1856.JPG, 05-09 17:33:24, 0, Auto
2204.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1856.JPG, 05-09 17:33:24, 1, Auto
1731.0, 1205.0, 32.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1857.JPG, 05-09 17:33:54, 0, Auto
2205.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1857.JPG, 05-09 17:33:54, 1, Auto
1731.0, 1205.0, 33.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1858.JPG, 05-09 17:34:24, 0, Auto
2205.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1858.JPG, 05-09 17:34:24, 1, Auto
1733.0, 1205.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1859.JPG, 05-09 17:34:54, 0, Auto
2204.0, 1077.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1859.JPG, 05-09 17:34:54, 1, Auto
1733.0, 1204.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1860.JPG, 05-09 17:35:24, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1860.JPG, 05-09 17:35:24, 1, Auto
1734.0, 1205.0, 32.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1861.JPG, 05-09 17:35:54, 0, Auto
2205.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1861.JPG, 05-09 17:35:54, 1, Auto
1736.0, 1205.0, 32.0, 56.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1862.JPG, 05-09 17:36:24, 0, Auto
2203.0, 1076.0, 46.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1862.JPG, 05-09 17:36:24, 1, Auto
1736.0, 1204.0, 33.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1863.JPG, 05-09 17:36:54, 0, Auto
2204.0, 1077.0, 46.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1863.JPG, 05-09 17:36:54, 1, Auto
1736.0, 1204.0, 33.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1864.JPG, 05-09 17:37:24, 0, Auto
2204.0, 1077.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1864.JPG, 05-09 17:37:24, 1, Auto
1737.0, 1204.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1865.JPG, 05-09 17:37:54, 0, Auto
2205.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1865.JPG, 05-09 17:37:54, 1, Auto
1737.0, 1204.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1866.JPG, 05-09 17:38:24, 0, Auto
2205.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1866.JPG, 05-09 17:38:24, 1, Auto
1738.0, 1205.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1867.JPG, 05-09 17:38:54, 0, Auto
2204.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1867.JPG, 05-09 17:38:54, 1, Auto
1739.0, 1205.0, 32.0, 57.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1868.JPG, 05-09 17:39:24, 0, Auto
2204.0, 1077.0, 44.0, 58.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1868.JPG, 05-09 17:39:24, 1, Auto
1738.0, 1203.0, 33.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1869.JPG, 05-09 17:39:54, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1869.JPG, 05-09 17:39:54, 1, Auto
1739.0, 1204.0, 33.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1870.JPG, 05-09 17:40:24, 0, Auto
2204.0, 1076.0, 45.0, 59.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\60\side\1\DSC_1870.JPG, 05-09 17:40:24, 1, Auto
