1863, 1865, 72, 86, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8785.JPG, 01-10 01:26:30, 0, Start 
2136, 1528, 142, 123, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8785.JPG, 01-10 01:26:30, 1, Start 
1863.0, 1865.0, 72.0, 86.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8785.JPG, 01-10 01:26:30, 0, Auto
2136.0, 1528.0, 142.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8785.JPG, 01-10 01:26:30, 1, Auto
1844.0, 1858.0, 73.0, 88.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8786.JPG, 01-10 01:27:00, 0, Auto
2092.0, 1525.0, 148.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8786.JPG, 01-10 01:27:00, 1, Auto
1811.0, 1877.0, 73.0, 88.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8787.JPG, 01-10 01:27:30, 0, Auto
2052.0, 1520.0, 157.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8787.JPG, 01-10 01:27:30, 1, Auto
1786.0, 1875.0, 75.0, 89.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8788.JPG, 01-10 01:28:00, 0, Auto
2010.0, 1522.0, 154.0, 133.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8788.JPG, 01-10 01:28:00, 1, Auto
1773.0, 1848.0, 78.0, 93.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8789.JPG, 01-10 01:28:30, 0, Auto
1971.0, 1524.0, 148.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8789.JPG, 01-10 01:28:30, 1, Auto
1751.0, 1827.0, 81.0, 97.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8790.JPG, 01-10 01:29:00, 0, Auto
1928.0, 1522.0, 148.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8790.JPG, 01-10 01:29:00, 1, Auto
1716.0, 1851.0, 81.0, 97.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8791.JPG, 01-10 01:29:30, 0, Auto
1883.0, 1522.0, 148.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8791.JPG, 01-10 01:29:30, 1, Auto
1680.0, 1885.0, 81.0, 97.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8792.JPG, 01-10 01:30:00, 0, Auto
1838.0, 1521.0, 151.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8792.JPG, 01-10 01:30:00, 1, Auto
1645.0, 1923.0, 81.0, 97.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8793.JPG, 01-10 01:30:30, 0, Auto
1791.0, 1520.0, 154.0, 133.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8793.JPG, 01-10 01:30:30, 1, Auto
1608.0, 1956.0, 83.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8794.JPG, 01-10 01:31:00, 0, Auto
1746.0, 1521.0, 157.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8794.JPG, 01-10 01:31:00, 1, Auto
1584.0, 1975.0, 83.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8795.JPG, 01-10 01:31:30, 0, Auto
1699.0, 1521.0, 160.0, 139.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8795.JPG, 01-10 01:31:30, 1, Auto
1560.0, 1968.0, 83.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8796.JPG, 01-10 01:32:00, 0, Auto
1650.0, 1520.0, 170.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8796.JPG, 01-10 01:32:00, 1, Auto
1511.0, 2056.0, 83.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8797.JPG, 01-10 01:32:30, 0, Auto
1605.0, 1522.0, 173.0, 150.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8797.JPG, 01-10 01:32:30, 1, Auto
1484.0, 2103.0, 84.0, 101.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8798.JPG, 01-10 01:33:00, 0, Auto
1550.0, 1528.0, 180.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8798.JPG, 01-10 01:33:00, 1, Auto
1456.0, 2141.0, 84.0, 101.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8799.JPG, 01-10 01:33:30, 0, Auto
1516.0, 1532.0, 173.0, 150.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8799.JPG, 01-10 01:33:30, 1, Auto
1450.0, 2193.0, 84.0, 101.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8800.JPG, 01-10 01:34:00, 0, Auto
1505.0, 1532.0, 177.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8800.JPG, 01-10 01:34:00, 1, Auto
1463.0, 2224.0, 88.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8801.JPG, 01-10 01:34:30, 0, Auto
1503.0, 1532.0, 177.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8801.JPG, 01-10 01:34:30, 1, Auto
1462.0, 2224.0, 90.0, 107.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8802.JPG, 01-10 01:35:00, 0, Auto
1499.0, 1530.0, 180.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8802.JPG, 01-10 01:35:00, 1, Auto
1463.0, 2225.0, 88.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8803.JPG, 01-10 01:35:30, 0, Auto
1495.0, 1526.0, 184.0, 159.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8803.JPG, 01-10 01:35:30, 1, Auto
1462.0, 2224.0, 88.0, 105.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\65\side\1\DSC_8804.JPG, 01-10 01:36:00, 0, Auto
