1812, 1662, 74, 99, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0030.JPG, 01-06 23:26:22, 0, Start 
2005, 1093, 61, 68, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0030.JPG, 01-06 23:26:22, 1, Start 
1812.0, 1662.0, 74.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0030.JPG, 01-06 23:26:22, 0, Auto
2005.0, 1093.0, 61.0, 68.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0030.JPG, 01-06 23:26:22, 1, Auto
1811.0, 1662.0, 74.0, 99.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0031.JPG, 01-06 23:26:52, 0, Auto
2004.0, 1091.0, 61.0, 68.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0031.JPG, 01-06 23:26:52, 1, Auto
1812.0, 1662.0, 73.0, 97.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0032.JPG, 01-06 23:27:22, 0, Auto
2002.0, 1091.0, 60.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0032.JPG, 01-06 23:27:22, 1, Auto
1808.0, 1657.0, 77.0, 103.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0033.JPG, 01-06 23:27:52, 0, Auto
2002.0, 1091.0, 57.0, 64.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0033.JPG, 01-06 23:27:52, 1, Auto
1808.0, 1657.0, 75.0, 101.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0034.JPG, 01-06 23:28:22, 0, Auto
1997.0, 1088.0, 60.0, 67.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0034.JPG, 01-06 23:28:22, 1, Auto
1809.0, 1659.0, 70.0, 93.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0035.JPG, 01-06 23:28:52, 0, Auto
1995.0, 1085.0, 61.0, 68.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\side\3\DSC_0035.JPG, 01-06 23:28:52, 1, Auto
