3100, 2026, 29, 48, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9135.JPG, 02-08 10:58:58, 0, Start 
3120, 2033, 41, 44, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9135.JPG, 02-08 10:58:58, 1, Start 
3100.0, 2026.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9135.JPG, 02-08 10:58:58, 0, Auto
3120.0, 2033.0, 41.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9135.JPG, 02-08 10:58:58, 1, Auto
3100.0, 2026.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9136.JPG, 02-08 10:59:28, 0, Auto
3118.0, 2032.0, 44.0, 47.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9136.JPG, 02-08 10:59:28, 1, Auto
3100.0, 2026.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9137.JPG, 02-08 10:59:58, 0, Auto
3118.0, 2032.0, 44.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9137.JPG, 02-08 10:59:58, 1, Auto
3100.0, 2027.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9138.JPG, 02-08 11:00:28, 0, Auto
3120.0, 2033.0, 42.0, 45.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9138.JPG, 02-08 11:00:28, 1, Auto
3100.0, 2027.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9139.JPG, 02-08 11:00:58, 0, Auto
3119.0, 2033.0, 43.0, 46.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9139.JPG, 02-08 11:00:58, 1, Auto
3099.0, 2027.0, 30.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9140.JPG, 02-08 11:01:28, 0, Auto
3120.0, 2034.0, 41.0, 44.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9140.JPG, 02-08 11:01:28, 1, Auto
3100.0, 2028.0, 29.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\DSC_9141.JPG, 02-08 11:01:58, 0, Auto
