4817, 1620, 130, 151, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5623.JPG, 30-07 10:32:34, 0, Start 
5174, 1210, 211, 270, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5623.JPG, 30-07 10:32:34, 1, Start 
4817.0, 1620.0, 130.0, 151.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5623.JPG, 30-07 10:32:34, 0, Auto
5174.0, 1211.0, 211.0, 270.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5623.JPG, 30-07 10:32:34, 1, Auto
4795.0, 1612.0, 135.0, 157.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5624.JPG, 30-07 10:33:04, 0, Auto
5142.0, 1214.0, 203.0, 260.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5624.JPG, 30-07 10:33:04, 1, Auto
4776.0, 1602.0, 133.0, 154.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5625.JPG, 30-07 10:33:34, 0, Auto
5109.0, 1208.0, 195.0, 249.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5625.JPG, 30-07 10:33:34, 1, Auto
4756.0, 1595.0, 127.0, 148.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5626.JPG, 30-07 10:34:04, 0, Auto
5050.0, 1221.0, 195.0, 249.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5626.JPG, 30-07 10:34:04, 1, Auto
4736.0, 1590.0, 123.0, 142.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\120\side\1\DSC_5627.JPG, 30-07 10:34:34, 0, Auto
