1830, 1839, 62, 128, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0960_CROPED.jpg, path time not found, 0, Start 
1942, 1755, 45, 124, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0960_CROPED.jpg, path time not found, 1, Start 
1830.0, 1839.0, 62.0, 128.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0960_CROPED.jpg, path time not found, 0, Auto
1943.0, 1757.0, 43.0, 119.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0960_CROPED.jpg, path time not found, 1, Auto
1784.0, 1831.0, 65.0, 133.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0961_CROPED.jpg, path time not found, 0, Auto
1882.0, 1755.0, 45.0, 124.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0961_CROPED.jpg, path time not found, 1, Auto
1738.0, 1828.0, 63.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0962_CROPED.jpg, path time not found, 0, Auto
1820.0, 1754.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0962_CROPED.jpg, path time not found, 1, Auto
1689.0, 1822.0, 65.0, 133.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0963_CROPED.jpg, path time not found, 0, Auto
1755.0, 1751.0, 49.0, 134.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0963_CROPED.jpg, path time not found, 1, Auto
1636.0, 1814.0, 68.0, 141.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0964_CROPED.jpg, path time not found, 0, Auto
1689.0, 1749.0, 51.0, 140.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0964_CROPED.jpg, path time not found, 1, Auto
1584.0, 1809.0, 68.0, 141.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0965_CROPED.jpg, path time not found, 0, Auto
1623.0, 1751.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0965_CROPED.jpg, path time not found, 1, Auto
1540.0, 1812.0, 63.0, 131.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0966_CROPED.jpg, path time not found, 0, Auto
1554.0, 1752.0, 51.0, 140.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0966_CROPED.jpg, path time not found, 1, Auto
1488.0, 1809.0, 66.0, 136.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0967_CROPED.jpg, path time not found, 0, Auto
1492.0, 1755.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0967_CROPED.jpg, path time not found, 1, Auto
1439.0, 1804.0, 70.0, 144.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0968_CROPED.jpg, path time not found, 0, Auto
1431.0, 1759.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0968_CROPED.jpg, path time not found, 1, Auto
1388.0, 1801.0, 71.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0969_CROPED.jpg, path time not found, 0, Auto
1368.0, 1762.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0969_CROPED.jpg, path time not found, 1, Auto
1378.0, 1802.0, 70.0, 144.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0970_CROPED.jpg, path time not found, 0, Auto
1356.0, 1763.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0970_CROPED.jpg, path time not found, 1, Auto
1370.0, 1804.0, 71.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0971_CROPED.jpg, path time not found, 0, Auto
1347.0, 1770.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0971_CROPED.jpg, path time not found, 1, Auto
1361.0, 1806.0, 73.0, 150.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0972_CROPED.jpg, path time not found, 0, Auto
1339.0, 1778.0, 49.0, 134.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0972_CROPED.jpg, path time not found, 1, Auto
1359.0, 1807.0, 71.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0973_CROPED.jpg, path time not found, 0, Auto
1329.0, 1776.0, 51.0, 140.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0973_CROPED.jpg, path time not found, 1, Auto
1352.0, 1808.0, 70.0, 144.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0974_CROPED.jpg, path time not found, 0, Auto
1323.0, 1777.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0974_CROPED.jpg, path time not found, 1, Auto
1352.0, 1807.0, 70.0, 144.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0975_CROPED.jpg, path time not found, 0, Auto
1317.0, 1778.0, 49.0, 134.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0975_CROPED.jpg, path time not found, 1, Auto
1344.0, 1806.0, 71.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0976_CROPED.jpg, path time not found, 0, Auto
1307.0, 1776.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0976_CROPED.jpg, path time not found, 1, Auto
1339.0, 1807.0, 70.0, 144.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0977_CROPED.jpg, path time not found, 0, Auto
1301.0, 1777.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0977_CROPED.jpg, path time not found, 1, Auto
1337.0, 1808.0, 71.0, 147.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0978_CROPED.jpg, path time not found, 0, Auto
1294.0, 1776.0, 51.0, 140.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0978_CROPED.jpg, path time not found, 1, Auto
1330.0, 1802.0, 73.0, 150.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0979_CROPED.jpg, path time not found, 0, Auto
1285.0, 1777.0, 50.0, 137.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0979_CROPED.jpg, path time not found, 1, Auto
1325.0, 1805.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0980_CROPED.jpg, path time not found, 0, Auto
1280.0, 1781.0, 48.0, 132.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0980_CROPED.jpg, path time not found, 1, Auto
1324.0, 1801.0, 76.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0981_CROPED.jpg, path time not found, 0, Auto
1273.0, 1779.0, 49.0, 134.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0981_CROPED.jpg, path time not found, 1, Auto
1317.0, 1797.0, 76.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0982_CROPED.jpg, path time not found, 0, Auto
1267.0, 1780.0, 48.0, 132.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0982_CROPED.jpg, path time not found, 1, Auto
1313.0, 1799.0, 76.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0983_CROPED.jpg, path time not found, 0, Auto
1259.0, 1780.0, 48.0, 132.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0983_CROPED.jpg, path time not found, 1, Auto
1311.0, 1800.0, 76.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0984_CROPED.jpg, path time not found, 0, Auto
1254.0, 1782.0, 47.0, 129.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0984_CROPED.jpg, path time not found, 1, Auto
1307.0, 1799.0, 77.0, 159.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0985_CROPED.jpg, path time not found, 0, Auto
1249.0, 1783.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0985_CROPED.jpg, path time not found, 1, Auto
1303.0, 1796.0, 77.0, 159.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0986_CROPED.jpg, path time not found, 0, Auto
1242.0, 1783.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0986_CROPED.jpg, path time not found, 1, Auto
1299.0, 1797.0, 76.0, 156.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0987_CROPED.jpg, path time not found, 0, Auto
1237.0, 1783.0, 45.0, 124.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0987_CROPED.jpg, path time not found, 1, Auto
1297.0, 1799.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0988_CROPED.jpg, path time not found, 0, Auto
1230.0, 1782.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0988_CROPED.jpg, path time not found, 1, Auto
1295.0, 1799.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0989_CROPED.jpg, path time not found, 0, Auto
1226.0, 1783.0, 45.0, 124.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0989_CROPED.jpg, path time not found, 1, Auto
1291.0, 1798.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0990_CROPED.jpg, path time not found, 0, Auto
1219.0, 1782.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0990_CROPED.jpg, path time not found, 1, Auto
1286.0, 1795.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0991_CROPED.jpg, path time not found, 0, Auto
1213.0, 1782.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0991_CROPED.jpg, path time not found, 1, Auto
1284.0, 1795.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0992_CROPED.jpg, path time not found, 0, Auto
1208.0, 1782.0, 46.0, 126.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0992_CROPED.jpg, path time not found, 1, Auto
1280.0, 1795.0, 74.0, 153.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\118\side\1\0993_CROPED.jpg, path time not found, 0, Auto
