3123, 2004, 50, 62, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6048.JPG, 10-05 12:28:58, 0, Start 
3231, 2059, 69, 85, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6048.JPG, 10-05 12:28:58, 1, Start 
3122.0, 2003.0, 52.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6048.JPG, 10-05 12:28:58, 0, Auto
3231.0, 2059.0, 69.0, 85.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6048.JPG, 10-05 12:28:58, 1, Auto
3107.0, 2008.0, 57.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6049.JPG, 10-05 12:29:28, 0, Auto
3214.0, 2066.0, 69.0, 85.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6049.JPG, 10-05 12:29:28, 1, Auto
3097.0, 2010.0, 56.0, 70.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6050.JPG, 10-05 12:29:58, 0, Auto
3199.0, 2067.0, 70.0, 87.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6050.JPG, 10-05 12:29:58, 1, Auto
3082.0, 2015.0, 57.0, 71.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6051.JPG, 10-05 12:30:28, 0, Auto
3184.0, 2075.0, 66.0, 82.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6051.JPG, 10-05 12:30:28, 1, Auto
3069.0, 2019.0, 59.0, 73.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6052.JPG, 10-05 12:30:58, 0, Auto
3168.0, 2079.0, 68.0, 83.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6052.JPG, 10-05 12:30:58, 1, Auto
3049.0, 2023.0, 59.0, 73.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6053.JPG, 10-05 12:31:28, 0, Auto
3145.0, 2082.0, 66.0, 82.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6053.JPG, 10-05 12:31:28, 1, Auto
3038.0, 2025.0, 61.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\109\side\1\DSC_6054.JPG, 10-05 12:31:58, 0, Auto
