2273, 853, 93, 125, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1630.JPG, 19-05 12:46:56, 0, Start 
2556, 970, 195, 84, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1630.JPG, 19-05 12:46:56, 1, Start 
2273.0, 853.0, 93.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1630.JPG, 19-05 12:46:56, 0, Auto
2556.0, 971.0, 195.0, 84.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1630.JPG, 19-05 12:46:56, 1, Auto
2284.0, 825.0, 88.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1631.JPG, 19-05 12:48:00, 0, Auto
2574.0, 924.0, 184.0, 79.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1631.JPG, 19-05 12:48:00, 1, Auto
2277.0, 803.0, 88.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1632.JPG, 19-05 12:48:30, 0, Auto
2587.0, 896.0, 177.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1632.JPG, 19-05 12:48:30, 1, Auto
2280.0, 786.0, 88.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1633.JPG, 19-05 12:49:00, 0, Auto
2592.0, 871.0, 166.0, 72.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1633.JPG, 19-05 12:49:00, 1, Auto
2283.0, 767.0, 89.0, 120.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1634.JPG, 19-05 12:49:30, 0, Auto
2597.0, 845.0, 163.0, 70.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1634.JPG, 19-05 12:49:30, 1, Auto
2283.0, 749.0, 91.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1635.JPG, 19-05 12:50:00, 0, Auto
2599.0, 820.0, 160.0, 69.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1635.JPG, 19-05 12:50:00, 1, Auto
2288.0, 735.0, 88.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1636.JPG, 19-05 12:50:30, 0, Auto
2604.0, 797.0, 154.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1636.JPG, 19-05 12:50:30, 1, Auto
2287.0, 719.0, 91.0, 123.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1637.JPG, 19-05 12:51:00, 0, Auto
2605.0, 775.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1637.JPG, 19-05 12:51:00, 1, Auto
2288.0, 703.0, 93.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1638.JPG, 19-05 12:51:30, 0, Auto
2600.0, 757.0, 148.0, 64.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1638.JPG, 19-05 12:51:30, 1, Auto
2289.0, 693.0, 95.0, 127.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1639.JPG, 19-05 12:52:00, 0, Auto
2600.0, 743.0, 145.0, 62.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1639.JPG, 19-05 12:52:00, 1, Auto
2292.0, 685.0, 93.0, 125.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1640.JPG, 19-05 12:52:30, 0, Auto
2597.0, 728.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1640.JPG, 19-05 12:52:30, 1, Auto
2292.0, 675.0, 95.0, 127.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1641.JPG, 19-05 12:53:00, 0, Auto
2589.0, 715.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1641.JPG, 19-05 12:53:00, 1, Auto
2288.0, 666.0, 97.0, 130.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1642.JPG, 19-05 12:53:30, 0, Auto
2579.0, 702.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1642.JPG, 19-05 12:53:30, 1, Auto
2287.0, 657.0, 97.0, 130.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1643.JPG, 19-05 12:54:00, 0, Auto
2572.0, 696.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1643.JPG, 19-05 12:54:00, 1, Auto
2283.0, 651.0, 97.0, 130.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1644.JPG, 19-05 12:54:30, 0, Auto
2564.0, 687.0, 148.0, 64.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1644.JPG, 19-05 12:54:30, 1, Auto
2280.0, 644.0, 99.0, 133.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1645.JPG, 19-05 12:55:00, 0, Auto
2561.0, 684.0, 139.0, 60.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1645.JPG, 19-05 12:55:00, 1, Auto
2283.0, 644.0, 103.0, 138.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1646.JPG, 19-05 12:55:30, 0, Auto
2551.0, 678.0, 142.0, 61.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1646.JPG, 19-05 12:55:30, 1, Auto
2279.0, 635.0, 101.0, 135.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1647.JPG, 19-05 12:56:00, 0, Auto
2533.0, 674.0, 151.0, 65.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1647.JPG, 19-05 12:56:00, 1, Auto
2280.0, 636.0, 101.0, 135.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1648.JPG, 19-05 12:56:30, 0, Auto
2521.0, 675.0, 154.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1648.JPG, 19-05 12:56:30, 1, Auto
2278.0, 636.0, 103.0, 138.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1649.JPG, 19-05 12:57:00, 0, Auto
2504.0, 676.0, 154.0, 66.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1649.JPG, 19-05 12:57:00, 1, Auto
2273.0, 634.0, 105.0, 141.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\21\side\1\DSC_1650.JPG, 19-05 12:57:30, 0, Auto
