3819, 2616, 145, 170, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5225.JPG, 14-05 05:41:20, 0, Start 
4214, 2546, 177, 236, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5225.JPG, 14-05 05:41:20, 1, Start 
3819.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5225.JPG, 14-05 05:41:20, 0, Auto
4214.0, 2546.0, 177.0, 236.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5225.JPG, 14-05 05:41:20, 1, Auto
3821.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5226.JPG, 14-05 05:41:50, 0, Auto
4214.0, 2547.0, 177.0, 236.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5226.JPG, 14-05 05:41:50, 1, Auto
3821.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5227.JPG, 14-05 05:42:20, 0, Auto
4210.0, 2543.0, 184.0, 246.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5227.JPG, 14-05 05:42:20, 1, Auto
3821.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5228.JPG, 14-05 05:42:50, 0, Auto
4213.0, 2545.0, 181.0, 241.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5228.JPG, 14-05 05:42:50, 1, Auto
3821.0, 2617.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5229.JPG, 14-05 05:43:20, 0, Auto
4211.0, 2543.0, 184.0, 246.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5229.JPG, 14-05 05:43:20, 1, Auto
3819.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5230.JPG, 14-05 05:43:50, 0, Auto
4212.0, 2544.0, 184.0, 246.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5230.JPG, 14-05 05:43:50, 1, Auto
3821.0, 2617.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5231.JPG, 14-05 05:44:20, 0, Auto
4212.0, 2544.0, 184.0, 246.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5231.JPG, 14-05 05:44:20, 1, Auto
3820.0, 2617.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5232.JPG, 14-05 05:44:50, 0, Auto
4208.0, 2540.0, 192.0, 255.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5232.JPG, 14-05 05:44:50, 1, Auto
3819.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5233.JPG, 14-05 05:45:20, 0, Auto
4208.0, 2540.0, 192.0, 255.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5233.JPG, 14-05 05:45:20, 1, Auto
3820.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5234.JPG, 14-05 05:45:50, 0, Auto
4206.0, 2539.0, 195.0, 261.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5234.JPG, 14-05 05:45:50, 1, Auto
3820.0, 2617.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5235.JPG, 14-05 05:46:20, 0, Auto
4204.0, 2537.0, 199.0, 266.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5235.JPG, 14-05 05:46:20, 1, Auto
3818.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5236.JPG, 14-05 05:46:50, 0, Auto
4204.0, 2537.0, 199.0, 266.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5236.JPG, 14-05 05:46:50, 1, Auto
3819.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5237.JPG, 14-05 05:47:20, 0, Auto
4202.0, 2534.0, 203.0, 271.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5237.JPG, 14-05 05:47:20, 1, Auto
3821.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5238.JPG, 14-05 05:47:50, 0, Auto
4201.0, 2532.0, 207.0, 277.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5238.JPG, 14-05 05:47:50, 1, Auto
3821.0, 2617.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5239.JPG, 14-05 05:48:20, 0, Auto
4201.0, 2531.0, 207.0, 277.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5239.JPG, 14-05 05:48:20, 1, Auto
3819.0, 2617.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5240.JPG, 14-05 05:48:50, 0, Auto
4201.0, 2534.0, 203.0, 271.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5240.JPG, 14-05 05:48:50, 1, Auto
3821.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5241.JPG, 14-05 05:49:20, 0, Auto
4202.0, 2534.0, 203.0, 271.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5241.JPG, 14-05 05:49:20, 1, Auto
3823.0, 2619.0, 139.0, 163.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5242.JPG, 14-05 05:49:50, 0, Auto
4204.0, 2536.0, 199.0, 266.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5242.JPG, 14-05 05:49:50, 1, Auto
3822.0, 2618.0, 139.0, 163.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5243.JPG, 14-05 05:50:20, 0, Auto
4203.0, 2537.0, 199.0, 266.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5243.JPG, 14-05 05:50:20, 1, Auto
3819.0, 2616.0, 145.0, 170.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5244.JPG, 14-05 05:50:50, 0, Auto
4208.0, 2539.0, 192.0, 255.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5244.JPG, 14-05 05:50:50, 1, Auto
3820.0, 2618.0, 142.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5245.JPG, 14-05 05:51:20, 0, Auto
4206.0, 2538.0, 195.0, 261.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\111\side\1\DSC_5245.JPG, 14-05 05:51:20, 1, Auto
