2471, 3206, 168, 111, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1098.JPG, 02-08 18:34:18, 0, Start 
2607, 2450, 142, 203, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1098.JPG, 02-08 18:34:18, 1, Start 
2473.0, 3207.0, 165.0, 109.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1098.JPG, 02-08 18:34:18, 0, Auto
2607.0, 2450.0, 142.0, 203.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1098.JPG, 02-08 18:34:18, 1, Auto
2463.0, 3205.0, 168.0, 111.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1099.JPG, 02-08 18:34:48, 0, Auto
2607.0, 2452.0, 139.0, 199.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1099.JPG, 02-08 18:34:48, 1, Auto
2454.0, 3202.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1100.JPG, 02-08 18:35:18, 0, Auto
2608.0, 2455.0, 134.0, 191.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1100.JPG, 02-08 18:35:18, 1, Auto
2447.0, 3201.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1101.JPG, 02-08 18:35:48, 0, Auto
2605.0, 2453.0, 136.0, 195.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1101.JPG, 02-08 18:35:48, 1, Auto
2437.0, 3199.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1102.JPG, 02-08 18:36:18, 0, Auto
2608.0, 2454.0, 134.0, 191.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1102.JPG, 02-08 18:36:18, 1, Auto
2423.0, 3195.0, 182.0, 120.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1103.JPG, 02-08 18:36:48, 0, Auto
2609.0, 2455.0, 131.0, 188.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1103.JPG, 02-08 18:36:48, 1, Auto
2414.0, 3194.0, 178.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1104.JPG, 02-08 18:37:18, 0, Auto
2612.0, 2457.0, 129.0, 184.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1104.JPG, 02-08 18:37:18, 1, Auto
2401.0, 3191.0, 182.0, 120.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1105.JPG, 02-08 18:37:48, 0, Auto
2615.0, 2456.0, 129.0, 184.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1105.JPG, 02-08 18:37:48, 1, Auto
2392.0, 3190.0, 178.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1106.JPG, 02-08 18:38:18, 0, Auto
2615.0, 2458.0, 126.0, 180.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1106.JPG, 02-08 18:38:18, 1, Auto
2382.0, 3189.0, 178.0, 118.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1107.JPG, 02-08 18:38:48, 0, Auto
2616.0, 2461.0, 121.0, 173.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1107.JPG, 02-08 18:38:48, 1, Auto
2378.0, 3189.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1108.JPG, 02-08 18:39:18, 0, Auto
2617.0, 2463.0, 116.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1108.JPG, 02-08 18:39:18, 1, Auto
2381.0, 3190.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1109.JPG, 02-08 18:39:48, 0, Auto
2619.0, 2466.0, 110.0, 157.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1109.JPG, 02-08 18:39:48, 1, Auto
2384.0, 3191.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1110.JPG, 02-08 18:40:18, 0, Auto
2615.0, 2458.0, 116.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1110.JPG, 02-08 18:40:18, 1, Auto
2388.0, 3191.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1111.JPG, 02-08 18:40:48, 0, Auto
2618.0, 2468.0, 106.0, 151.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1111.JPG, 02-08 18:40:48, 1, Auto
2391.0, 3192.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1112.JPG, 02-08 18:41:18, 0, Auto
2614.0, 2462.0, 110.0, 157.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1112.JPG, 02-08 18:41:18, 1, Auto
2395.0, 3192.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1113.JPG, 02-08 18:41:48, 0, Auto
2608.0, 2458.0, 116.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1113.JPG, 02-08 18:41:48, 1, Auto
2400.0, 3194.0, 171.0, 113.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1114.JPG, 02-08 18:42:18, 0, Auto
2606.0, 2460.0, 116.0, 167.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1114.JPG, 02-08 18:42:18, 1, Auto
2403.0, 3194.0, 171.0, 113.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1115.JPG, 02-08 18:42:48, 0, Auto
2611.0, 2470.0, 103.0, 148.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1115.JPG, 02-08 18:42:48, 1, Auto
2405.0, 3194.0, 175.0, 115.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1116.JPG, 02-08 18:43:18, 0, Auto
2609.0, 2466.0, 103.0, 148.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\46\side\2\DSC_1116.JPG, 02-08 18:43:18, 1, Auto
