2249, 1416, 41, 50, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5065.JPG, 20-12 21:58:02, 0, Start 
2314, 1513, 39, 34, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5065.JPG, 20-12 21:58:02, 1, Start 
2249.0, 1416.0, 41.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5065.JPG, 20-12 21:58:02, 0, Auto
2314.0, 1513.0, 39.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5065.JPG, 20-12 21:58:02, 1, Auto
2206.0, 1413.0, 42.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5066.JPG, 20-12 21:58:32, 0, Auto
2314.0, 1514.0, 39.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5066.JPG, 20-12 21:58:32, 1, Auto
2164.0, 1411.0, 43.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5067.JPG, 20-12 21:59:02, 0, Auto
2314.0, 1514.0, 39.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5067.JPG, 20-12 21:59:02, 1, Auto
2119.0, 1408.0, 42.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5068.JPG, 20-12 21:59:32, 0, Auto
2315.0, 1516.0, 36.0, 31.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5068.JPG, 20-12 21:59:32, 1, Auto
2102.0, 1399.0, 44.0, 54.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5069.JPG, 20-12 22:00:02, 0, Auto
2314.0, 1515.0, 38.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5069.JPG, 20-12 22:00:02, 1, Auto
2117.0, 1384.0, 44.0, 53.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5070.JPG, 20-12 22:00:32, 0, Auto
2314.0, 1514.0, 39.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\100\side\1\DSC_5070.JPG, 20-12 22:00:32, 1, Auto
