1890, 582, 78, 49, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7465.JPG, 28-07 20:08:58, 0, Start 
2403, 503, 92, 86, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7465.JPG, 28-07 20:08:58, 1, Start 
1890.0, 582.0, 78.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7465.JPG, 28-07 20:08:58, 0, Auto
2405.0, 505.0, 88.0, 83.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7465.JPG, 28-07 20:08:58, 1, Auto
1880.0, 584.0, 78.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7466.JPG, 28-07 20:09:28, 0, Auto
2366.0, 506.0, 85.0, 79.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7466.JPG, 28-07 20:09:28, 1, Auto
1864.0, 585.0, 81.0, 51.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7467.JPG, 28-07 20:09:58, 0, Auto
2320.0, 501.0, 85.0, 79.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7467.JPG, 28-07 20:09:58, 1, Auto
1852.0, 587.0, 78.0, 49.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7468.JPG, 28-07 20:10:28, 0, Auto
2277.0, 505.0, 82.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7468.JPG, 28-07 20:10:28, 1, Auto
1841.0, 588.0, 76.0, 48.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7469.JPG, 28-07 20:10:58, 0, Auto
2233.0, 505.0, 82.0, 76.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7469.JPG, 28-07 20:10:58, 1, Auto
1824.0, 589.0, 80.0, 50.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7470.JPG, 28-07 20:11:28, 0, Auto
2198.0, 496.0, 79.0, 73.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7470.JPG, 28-07 20:11:28, 1, Auto
1809.0, 590.0, 83.0, 52.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\43\side\1\DSC_7471.JPG, 28-07 20:11:58, 0, Auto
