2196, 1789, 28, 26, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2455.JPG, 22-11 16:56:32, 0, Start 
2204, 1909, 22, 34, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2455.JPG, 22-11 16:56:32, 1, Start 
2196.0, 1789.0, 28.0, 26.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2455.JPG, 22-11 16:56:32, 0, Auto
2204.0, 1909.0, 22.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2455.JPG, 22-11 16:56:32, 1, Auto
2200.0, 1795.0, 27.0, 25.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2456.JPG, 22-11 16:57:02, 0, Auto
2203.0, 1913.0, 22.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2456.JPG, 22-11 16:57:02, 1, Auto
2179.0, 1796.0, 28.0, 26.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2457.JPG, 22-11 16:57:32, 0, Auto
2176.0, 1914.0, 22.0, 34.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2457.JPG, 22-11 16:57:32, 1, Auto
2158.0, 1797.0, 28.0, 26.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2458.JPG, 22-11 16:58:02, 0, Auto
2150.0, 1914.0, 22.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2458.JPG, 22-11 16:58:02, 1, Auto
2135.0, 1797.0, 29.0, 27.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2459.JPG, 22-11 16:58:32, 0, Auto
2121.0, 1913.0, 22.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2459.JPG, 22-11 16:58:32, 1, Auto
2111.0, 1797.0, 28.0, 26.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2460.JPG, 22-11 16:59:02, 0, Auto
2092.0, 1913.0, 22.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2460.JPG, 22-11 16:59:02, 1, Auto
2089.0, 1797.0, 28.0, 26.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2461.JPG, 22-11 16:59:32, 0, Auto
2064.0, 1913.0, 21.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2461.JPG, 22-11 16:59:32, 1, Auto
2068.0, 1798.0, 27.0, 25.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2462.JPG, 22-11 17:00:02, 0, Auto
2048.0, 1909.0, 21.0, 32.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2462.JPG, 22-11 17:00:02, 1, Auto
2046.0, 1800.0, 27.0, 25.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2463.JPG, 22-11 17:00:32, 0, Auto
2028.0, 1908.0, 22.0, 33.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2463.JPG, 22-11 17:00:32, 1, Auto
2026.0, 1800.0, 26.0, 25.0, \\132.66.44.238\AmirOhad\PhD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\91\side\1\DSC_2464.JPG, 22-11 17:01:02, 0, Auto
