1304, 1310, 45, 81, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1988_CROPED.JPG, path time not found, 0, Start 
1149, 1350, 44, 98, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1988_CROPED.JPG, path time not found, 1, Start 
1304.0, 1310.0, 45.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1988_CROPED.JPG, path time not found, 0, Auto
1150.0, 1351.0, 43.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1988_CROPED.JPG, path time not found, 1, Auto
1301.0, 1312.0, 44.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1989_CROPED.JPG, path time not found, 0, Auto
1149.0, 1350.0, 44.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1989_CROPED.JPG, path time not found, 1, Auto
1296.0, 1313.0, 43.0, 78.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1990_CROPED.JPG, path time not found, 0, Auto
1149.0, 1349.0, 45.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1990_CROPED.JPG, path time not found, 1, Auto
1292.0, 1316.0, 42.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1991_CROPED.JPG, path time not found, 0, Auto
1148.0, 1349.0, 46.0, 102.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1991_CROPED.JPG, path time not found, 1, Auto
1295.0, 1314.0, 40.0, 72.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1992_CROPED.JPG, path time not found, 0, Auto
1148.0, 1349.0, 46.0, 102.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1992_CROPED.JPG, path time not found, 1, Auto
1264.0, 1317.0, 40.0, 72.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1993_CROPED.JPG, path time not found, 0, Auto
1148.0, 1350.0, 46.0, 102.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1993_CROPED.JPG, path time not found, 1, Auto
1261.0, 1320.0, 38.0, 68.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1994_CROPED.JPG, path time not found, 0, Auto
1149.0, 1351.0, 44.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1994_CROPED.JPG, path time not found, 1, Auto
1261.0, 1322.0, 38.0, 68.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1995_CROPED.JPG, path time not found, 0, Auto
1150.0, 1351.0, 44.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1995_CROPED.JPG, path time not found, 1, Auto
1253.0, 1319.0, 38.0, 68.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\23\side\cropped\1\1996_CROPED.JPG, path time not found, 0, Auto
