2624, 1981, 287, 330, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08597_CROPED.JPG, path time not found, 0, Start 
130, 2109, 139, 283, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08597_CROPED.JPG, path time not found, 1, Start 
2624.0, 1981.0, 287.0, 330.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08597_CROPED.JPG, path time not found, 0, Auto
130.0, 2109.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08597_CROPED.JPG, path time not found, 1, Auto
2641.0, 1983.0, 281.0, 324.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08598_CROPED.JPG, path time not found, 0, Auto
148.0, 2109.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08598_CROPED.JPG, path time not found, 1, Auto
2637.0, 1981.0, 287.0, 330.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08599_CROPED.JPG, path time not found, 0, Auto
148.0, 2107.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08599_CROPED.JPG, path time not found, 1, Auto
2637.0, 1982.0, 287.0, 330.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08600_CROPED.JPG, path time not found, 0, Auto
149.0, 2106.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08600_CROPED.JPG, path time not found, 1, Auto
2637.0, 1983.0, 287.0, 330.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08601_CROPED.JPG, path time not found, 0, Auto
149.0, 2106.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08601_CROPED.JPG, path time not found, 1, Auto
2634.0, 1980.0, 293.0, 337.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08602_CROPED.JPG, path time not found, 0, Auto
149.0, 2106.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08602_CROPED.JPG, path time not found, 1, Auto
2635.0, 1980.0, 293.0, 337.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08603_CROPED.JPG, path time not found, 0, Auto
149.0, 2106.0, 139.0, 283.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08603_CROPED.JPG, path time not found, 1, Auto
2635.0, 1979.0, 293.0, 337.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08604_CROPED.JPG, path time not found, 0, Auto
151.0, 2108.0, 136.0, 277.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08604_CROPED.JPG, path time not found, 1, Auto
2638.0, 1984.0, 287.0, 330.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\1\08605_CROPED.JPG, path time not found, 0, Auto
