1591, 1206, 73, 134, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5614_CROPED.JPG, path time not found, 0, Start 
1463, 1175, 73, 207, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5614_CROPED.JPG, path time not found, 1, Start 
1591.0, 1206.0, 73.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5614_CROPED.JPG, path time not found, 0, Auto
1466.0, 1177.0, 72.0, 203.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5614_CROPED.JPG, path time not found, 1, Auto
1556.0, 1199.0, 74.0, 137.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5615_CROPED.JPG, path time not found, 0, Auto
1467.0, 1113.0, 70.0, 199.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5615_CROPED.JPG, path time not found, 1, Auto
1548.0, 1202.0, 73.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5616_CROPED.JPG, path time not found, 0, Auto
1505.0, 1094.0, 69.0, 195.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5616_CROPED.JPG, path time not found, 1, Auto
1539.0, 1203.0, 74.0, 137.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5617_CROPED.JPG, path time not found, 0, Auto
1507.0, 1103.0, 67.0, 191.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5617_CROPED.JPG, path time not found, 1, Auto
1538.0, 1213.0, 73.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 0, Auto
1506.0, 1109.0, 69.0, 195.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 1, Auto
1465, 1164, 84, 165, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 0, Start 
1259, 1199, 79, 165, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 1, Start 
1465.0, 1162.0, 86.0, 168.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 0, Auto
1259.0, 1199.0, 79.0, 165.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5618_CROPED.JPG, path time not found, 1, Auto
1466.0, 1170.0, 84.0, 165.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5619_CROPED.JPG, path time not found, 0, Auto
1257.0, 1197.0, 82.0, 172.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5619_CROPED.JPG, path time not found, 1, Auto
1471.0, 1171.0, 84.0, 165.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5620_CROPED.JPG, path time not found, 0, Auto
1257.0, 1198.0, 81.0, 168.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5620_CROPED.JPG, path time not found, 1, Auto
1466.0, 1175.0, 86.0, 168.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5621_CROPED.JPG, path time not found, 0, Auto
1254.0, 1197.0, 81.0, 168.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5621_CROPED.JPG, path time not found, 1, Auto
1466.0, 1181.0, 87.0, 172.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\14\side\cropped\6\5622_CROPED.JPG, path time not found, 0, Auto
