1221, 703, 20, 38, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0319_CROPED.JPG, path time not found, 0, Start 
1143, 659, 25, 79, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0319_CROPED.JPG, path time not found, 1, Start 
1221.0, 703.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0319_CROPED.JPG, path time not found, 0, Auto
1143.0, 659.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0319_CROPED.JPG, path time not found, 1, Auto
1221.0, 706.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0320_CROPED.JPG, path time not found, 0, Auto
1142.0, 662.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0320_CROPED.JPG, path time not found, 1, Auto
1221.0, 706.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0321_CROPED.JPG, path time not found, 0, Auto
1143.0, 663.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0321_CROPED.JPG, path time not found, 1, Auto
1221.0, 706.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0322_CROPED.JPG, path time not found, 0, Auto
1143.0, 663.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0322_CROPED.JPG, path time not found, 1, Auto
1221.0, 727.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0323_CROPED.JPG, path time not found, 0, Auto
1145.0, 695.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0323_CROPED.JPG, path time not found, 1, Auto
1222.0, 728.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0324_CROPED.JPG, path time not found, 0, Auto
1144.0, 695.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0324_CROPED.JPG, path time not found, 1, Auto
1222.0, 729.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0325_CROPED.JPG, path time not found, 0, Auto
1145.0, 695.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0325_CROPED.JPG, path time not found, 1, Auto
1222.0, 731.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0326_CROPED.JPG, path time not found, 0, Auto
1146.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0326_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0327_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0327_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0328_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0328_CROPED.JPG, path time not found, 1, Auto
1222.0, 731.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0329_CROPED.JPG, path time not found, 0, Auto
1145.0, 698.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0329_CROPED.JPG, path time not found, 1, Auto
1222.0, 731.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0330_CROPED.JPG, path time not found, 0, Auto
1146.0, 699.0, 25.0, 77.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0330_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0331_CROPED.JPG, path time not found, 0, Auto
1146.0, 698.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0331_CROPED.JPG, path time not found, 1, Auto
1221.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0332_CROPED.JPG, path time not found, 0, Auto
1145.0, 698.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0332_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0333_CROPED.JPG, path time not found, 0, Auto
1145.0, 698.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0333_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0334_CROPED.JPG, path time not found, 0, Auto
1145.0, 698.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0334_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0335_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0335_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0336_CROPED.JPG, path time not found, 0, Auto
1145.0, 697.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0336_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0337_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0337_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0338_CROPED.JPG, path time not found, 0, Auto
1146.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0338_CROPED.JPG, path time not found, 1, Auto
1222.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0339_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0339_CROPED.JPG, path time not found, 1, Auto
1222.0, 729.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0340_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0340_CROPED.JPG, path time not found, 1, Auto
1222.0, 729.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0341_CROPED.JPG, path time not found, 0, Auto
1145.0, 699.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0341_CROPED.JPG, path time not found, 1, Auto
1223.0, 730.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0342_CROPED.JPG, path time not found, 0, Auto
1146.0, 700.0, 26.0, 81.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0342_CROPED.JPG, path time not found, 1, Auto
1222.0, 729.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0343_CROPED.JPG, path time not found, 0, Auto
1146.0, 700.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0343_CROPED.JPG, path time not found, 1, Auto
1222.0, 728.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0344_CROPED.JPG, path time not found, 0, Auto
1145.0, 701.0, 25.0, 79.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0344_CROPED.JPG, path time not found, 1, Auto
1222.0, 729.0, 20.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\16\side\cropped\2\0345_CROPED.JPG, path time not found, 0, Auto
