1628, 1284, 58, 145, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8620_CROPED.JPG, path time not found, 0, Start 
1331, 1278, 83, 160, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8620_CROPED.JPG, path time not found, 1, Start 
1628.0, 1284.0, 58.0, 145.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8620_CROPED.JPG, path time not found, 0, Auto
1331.0, 1278.0, 83.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8620_CROPED.JPG, path time not found, 1, Auto
1605.0, 1286.0, 57.0, 142.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8621_CROPED.JPG, path time not found, 0, Auto
1330.0, 1278.0, 83.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8621_CROPED.JPG, path time not found, 1, Auto
1607.0, 1291.0, 54.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8622_CROPED.JPG, path time not found, 0, Auto
1330.0, 1278.0, 83.0, 160.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8622_CROPED.JPG, path time not found, 1, Auto
1607.0, 1290.0, 54.0, 134.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8623_CROPED.JPG, path time not found, 0, Auto
1331.0, 1282.0, 80.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8623_CROPED.JPG, path time not found, 1, Auto
1606.0, 1287.0, 56.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8624_CROPED.JPG, path time not found, 0, Auto
1330.0, 1280.0, 81.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8624_CROPED.JPG, path time not found, 1, Auto
1625.0, 1266.0, 56.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8625_CROPED.JPG, path time not found, 0, Auto
1331.0, 1281.0, 80.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8625_CROPED.JPG, path time not found, 1, Auto
1624.0, 1268.0, 55.0, 137.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8626_CROPED.JPG, path time not found, 0, Auto
1331.0, 1279.0, 81.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8626_CROPED.JPG, path time not found, 1, Auto
1623.0, 1266.0, 55.0, 137.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8627_CROPED.JPG, path time not found, 0, Auto
1332.0, 1281.0, 80.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8627_CROPED.JPG, path time not found, 1, Auto
1624.0, 1267.0, 53.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8628_CROPED.JPG, path time not found, 0, Auto
1331.0, 1280.0, 80.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8628_CROPED.JPG, path time not found, 1, Auto
1623.0, 1266.0, 53.0, 131.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8629_CROPED.JPG, path time not found, 0, Auto
1331.0, 1281.0, 80.0, 154.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8629_CROPED.JPG, path time not found, 1, Auto
1624.0, 1267.0, 50.0, 126.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8630_CROPED.JPG, path time not found, 0, Auto
1332.0, 1280.0, 81.0, 157.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8630_CROPED.JPG, path time not found, 1, Auto
1556.0, 1255.0, 50.0, 124.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\21\side\cropped\1\8631_CROPED.JPG, path time not found, 0, Auto
