767.0, 511.0, 64.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7944_CROPED.JPG, path time not found, 1, Auto
978.0, 320.0, 90.0, 148.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7945_CROPED.JPG, path time not found, 0, Auto
768.0, 512.0, 62.0, 103.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7945_CROPED.JPG, path time not found, 1, Auto
984.0, 323.0, 92.0, 150.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 0, Auto
766.0, 510.0, 64.0, 105.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 1, Auto
965, 474, 42, 101, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 0, Start 
779, 511, 59, 107, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 1, Start 
965.0, 474.0, 42.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 0, Auto
779.0, 511.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7946_CROPED.JPG, path time not found, 1, Auto
968.0, 480.0, 38.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7947_CROPED.JPG, path time not found, 0, Auto
778.0, 511.0, 59.0, 107.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7947_CROPED.JPG, path time not found, 1, Auto
967.0, 475.0, 42.0, 101.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7948_CROPED.JPG, path time not found, 0, Auto
778.0, 510.0, 60.0, 109.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\31\side\cropped\1\7948_CROPED.JPG, path time not found, 1, Auto
