1594, 295, 68, 125, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08865_CROPED.JPG, path time not found, 0, Start 
1359, 407, 94, 112, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08865_CROPED.JPG, path time not found, 1, Start 
1594.0, 295.0, 68.0, 125.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08865_CROPED.JPG, path time not found, 0, Auto
1361.0, 409.0, 90.0, 108.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08865_CROPED.JPG, path time not found, 1, Auto
1593.0, 289.0, 74.0, 135.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08866_CROPED.JPG, path time not found, 0, Auto
1360.0, 407.0, 94.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08866_CROPED.JPG, path time not found, 1, Auto
1594.0, 288.0, 72.0, 133.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08867_CROPED.JPG, path time not found, 0, Auto
1360.0, 407.0, 94.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08867_CROPED.JPG, path time not found, 1, Auto
1593.0, 286.0, 74.0, 135.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08868_CROPED.JPG, path time not found, 0, Auto
1359.0, 406.0, 98.0, 117.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08868_CROPED.JPG, path time not found, 1, Auto
1591.0, 284.0, 75.0, 138.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08869_CROPED.JPG, path time not found, 0, Auto
1359.0, 407.0, 98.0, 117.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08869_CROPED.JPG, path time not found, 1, Auto
1590.0, 285.0, 74.0, 135.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08870_CROPED.JPG, path time not found, 0, Auto
1359.0, 408.0, 98.0, 117.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08870_CROPED.JPG, path time not found, 1, Auto
1590.0, 283.0, 74.0, 135.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08871_CROPED.JPG, path time not found, 0, Auto
1359.0, 408.0, 98.0, 117.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08871_CROPED.JPG, path time not found, 1, Auto
1585.0, 280.0, 77.0, 141.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08872_CROPED.JPG, path time not found, 0, Auto
1358.0, 407.0, 100.0, 119.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08872_CROPED.JPG, path time not found, 1, Auto
1583.0, 276.0, 80.0, 146.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08873_CROPED.JPG, path time not found, 0, Auto
1358.0, 407.0, 98.0, 117.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08873_CROPED.JPG, path time not found, 1, Auto
1583.0, 276.0, 78.0, 144.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08874_CROPED.JPG, path time not found, 0, Auto
1359.0, 408.0, 96.0, 114.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08874_CROPED.JPG, path time not found, 1, Auto
1590.0, 284.0, 75.0, 138.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08875_CROPED.JPG, path time not found, 0, Auto
1365.0, 424.0, 94.0, 112.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\10\side\cropped\3\08875_CROPED.JPG, path time not found, 1, Auto
