1461, 1666, 73, 168, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0293_CROPED.JPG, path time not found, 0, Start 
1281, 1677, 86, 153, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0293_CROPED.JPG, path time not found, 1, Start 
1462.0, 1668.0, 72.0, 165.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0293_CROPED.JPG, path time not found, 0, Auto
1281.0, 1677.0, 86.0, 153.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0293_CROPED.JPG, path time not found, 1, Auto
1458.0, 1669.0, 70.0, 161.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0294_CROPED.JPG, path time not found, 0, Auto
1281.0, 1676.0, 86.0, 153.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0294_CROPED.JPG, path time not found, 1, Auto
1460.0, 1672.0, 67.0, 155.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0295_CROPED.JPG, path time not found, 0, Auto
1282.0, 1679.0, 84.0, 150.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0295_CROPED.JPG, path time not found, 1, Auto
1460.0, 1673.0, 66.0, 152.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0296_CROPED.JPG, path time not found, 0, Auto
1285.0, 1683.0, 79.0, 141.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0296_CROPED.JPG, path time not found, 1, Auto
1462.0, 1676.0, 62.0, 143.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0297_CROPED.JPG, path time not found, 0, Auto
1285.0, 1685.0, 78.0, 139.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0297_CROPED.JPG, path time not found, 1, Auto
1463.0, 1676.0, 61.0, 141.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0298_CROPED.JPG, path time not found, 0, Auto
1284.0, 1681.0, 81.0, 144.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0298_CROPED.JPG, path time not found, 1, Auto
1464.0, 1674.0, 61.0, 141.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0299_CROPED.JPG, path time not found, 0, Auto
1284.0, 1680.0, 83.0, 147.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0299_CROPED.JPG, path time not found, 1, Auto
1466.0, 1675.0, 60.0, 138.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0300_CROPED.JPG, path time not found, 0, Auto
1286.0, 1681.0, 81.0, 144.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0300_CROPED.JPG, path time not found, 1, Auto
1461.0, 1745.0, 60.0, 138.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0301_CROPED.JPG, path time not found, 0, Auto
1275.0, 1670.0, 81.0, 144.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0301_CROPED.JPG, path time not found, 1, Auto
1458.0, 1744.0, 61.0, 141.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 0, Auto
1275.0, 1667.0, 83.0, 147.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 1, Auto
1454, 1713, 71, 143, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 0, Start 
1281, 1721, 78, 153, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 1, Start 
1454.0, 1713.0, 71.0, 143.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 0, Auto
1282.0, 1723.0, 76.0, 150.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0302_CROPED.JPG, path time not found, 1, Auto
1454.0, 1712.0, 74.0, 149.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0303_CROPED.JPG, path time not found, 0, Auto
1293.0, 1724.0, 75.0, 147.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0303_CROPED.JPG, path time not found, 1, Auto
1453.0, 1709.0, 77.0, 155.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0304_CROPED.JPG, path time not found, 0, Auto
1291.0, 1726.0, 76.0, 150.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0304_CROPED.JPG, path time not found, 1, Auto
1453.0, 1707.0, 80.0, 161.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2c_motor_modified_CN\measurements\27\side\cropped\1\0305_CROPED.JPG, path time not found, 0, Auto
