3515, 1631, 62, 53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9111.JPG, 30-05 15:06:12, 0, Start 
3515.05, 1631.07, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9111.JPG, 30-05 15:06:12, 0, Auto
3515.01, 1631.19, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9112.JPG, 30-05 15:06:42, 0, Auto
3514.59, 1630.07, 63.24, 54.06, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9113.JPG, 30-05 15:07:12, 0, Auto
3515.11, 1630.82, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9114.JPG, 01-06 17:03:08, 0, Auto
3515.75, 1631.55, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9115.JPG, 01-06 17:03:15, 0, Auto
3514.45, 1633.1, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9116.JPG, 01-06 17:03:15, 0, Auto
3515.51, 1633.45, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9117.JPG, 01-06 17:03:15, 0, Auto
3517.56, 1631.74, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9118.JPG, 01-06 17:03:15, 0, Auto
3516.25, 1632.78, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9119.JPG, 01-06 17:03:15, 0, Auto
3516.65, 1633.12, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9120.JPG, 01-06 17:03:15, 0, Auto
3516.22, 1632.75, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9121.JPG, 01-06 17:03:15, 0, Auto
3515.86, 1635.35, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9122.JPG, 01-06 17:03:15, 0, Auto
3515.2, 1631.63, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9123.JPG, 01-06 17:03:15, 0, Auto
3515.55, 1632.09, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9124.JPG, 01-06 17:03:15, 0, Auto
3517.25, 1632.33, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9125.JPG, 01-06 17:03:15, 0, Auto
3516.88, 1632.29, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9126.JPG, 01-06 17:03:15, 0, Auto
3516.82, 1632.82, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9127.JPG, 30-05 15:14:12, 0, Auto
3516.39, 1632.97, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9128.JPG, 01-06 17:03:15, 0, Auto
3514.97, 1633.78, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9129.JPG, 01-06 17:03:15, 0, Auto
3514.67, 1630.77, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9130.JPG, 01-06 17:03:15, 0, Auto
3515.09, 1631.29, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9131.JPG, 01-06 17:03:15, 0, Auto
3516.85, 1633.8, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9132.JPG, 01-06 17:03:15, 0, Auto
3516.45, 1634.04, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9133.JPG, 01-06 17:03:15, 0, Auto
3516.28, 1632.94, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9134.JPG, 01-06 17:03:15, 0, Auto
3515.93, 1634.3, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9135.JPG, 01-06 17:03:15, 0, Auto
3515.93, 1633.73, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9136.JPG, 01-06 17:03:15, 0, Auto
3515.46, 1633.58, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9137.JPG, 01-06 17:03:15, 0, Auto
3515.21, 1631.38, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9138.JPG, 01-06 17:03:15, 0, Auto
3516.71, 1632.7, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9139.JPG, 01-06 17:03:15, 0, Auto
3516.59, 1632.55, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9140.JPG, 01-06 17:03:15, 0, Auto
3515.63, 1631.27, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9141.JPG, 01-06 17:03:15, 0, Auto
3516.44, 1630.36, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9142.JPG, 01-06 17:03:15, 0, Auto
3516.17, 1632.26, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9143.JPG, 01-06 17:03:08, 0, Auto
3516.04, 1633.53, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9144.JPG, 01-06 17:03:15, 0, Auto
3514.73, 1633.72, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9145.JPG, 01-06 17:03:15, 0, Auto
3515.08, 1633.68, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9146.JPG, 01-06 17:03:15, 0, Auto
3515.08, 1632.53, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9147.JPG, 01-06 17:03:15, 0, Auto
3515.06, 1631.3, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9148.JPG, 01-06 17:03:15, 0, Auto
3515.36, 1633.25, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9149.JPG, 01-06 17:03:15, 0, Auto
3516.31, 1633.33, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9150.JPG, 01-06 17:03:15, 0, Auto
3516.44, 1633.54, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9151.JPG, 01-06 17:03:15, 0, Auto
3516.36, 1634.45, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9152.JPG, 01-06 17:03:15, 0, Auto
3516.71, 1635.13, 56.16, 48.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9153.JPG, 01-06 17:03:15, 0, Auto
3517.83, 1633.97, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9154.JPG, 01-06 17:03:15, 0, Auto
3516.82, 1634.49, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9155.JPG, 01-06 17:03:15, 0, Auto
3516.78, 1634.22, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9156.JPG, 30-05 15:28:42, 0, Auto
3516.65, 1630.58, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9157.JPG, 01-06 17:03:15, 0, Auto
3516.82, 1632.58, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9158.JPG, 01-06 17:03:15, 0, Auto
3516.87, 1633.77, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9159.JPG, 01-06 17:03:15, 0, Auto
3516.43, 1634.31, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9160.JPG, 01-06 17:03:15, 0, Auto
3516.42, 1633.88, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9161.JPG, 01-06 17:03:15, 0, Auto
3516.67, 1633.38, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9162.JPG, 01-06 17:03:15, 0, Auto
3516.75, 1632.55, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9163.JPG, 01-06 17:03:15, 0, Auto
3517.22, 1636.24, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9164.JPG, 01-06 17:03:15, 0, Auto
3517.06, 1634.99, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9165.JPG, 01-06 17:03:15, 0, Auto
3516.4, 1635.23, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9166.JPG, 01-06 17:03:15, 0, Auto
3516.85, 1633.82, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9167.JPG, 01-06 17:03:15, 0, Auto
3516.02, 1633.92, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9168.JPG, 01-06 17:03:15, 0, Auto
3514.39, 1633.46, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9169.JPG, 01-06 17:03:15, 0, Auto
3514.87, 1630.99, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9170.JPG, 01-06 17:03:15, 0, Auto
3516.19, 1634.24, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9171.JPG, 01-06 17:03:15, 0, Auto
3516.17, 1632.14, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9172.JPG, 30-05 15:36:42, 0, Auto
3515.35, 1632.13, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9173.JPG, 01-06 17:03:15, 0, Auto
3514.95, 1631.64, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9174.JPG, 01-06 17:03:15, 0, Auto
3516.05, 1631.59, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9175.JPG, 01-06 17:03:15, 0, Auto
3515.57, 1630.24, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9176.JPG, 01-06 17:03:15, 0, Auto
3516.4, 1631.95, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9177.JPG, 01-06 17:03:15, 0, Auto
3515.47, 1634.09, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9178.JPG, 01-06 17:03:15, 0, Auto
3515.64, 1631.69, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9179.JPG, 01-06 17:03:15, 0, Auto
3515.53, 1633.06, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9180.JPG, 01-06 17:03:15, 0, Auto
3516.11, 1633.32, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9181.JPG, 01-06 17:03:15, 0, Auto
3515.73, 1633.44, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9182.JPG, 01-06 17:03:15, 0, Auto
3515.57, 1633.14, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9183.JPG, 01-06 17:03:15, 0, Auto
3516.83, 1631.48, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9184.JPG, 01-06 17:03:15, 0, Auto
3515.66, 1632.94, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9185.JPG, 01-06 17:03:15, 0, Auto
3515.15, 1633.47, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9186.JPG, 01-06 17:03:15, 0, Auto
3516.22, 1632.27, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9187.JPG, 01-06 17:03:15, 0, Auto
3514.86, 1633.88, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9188.JPG, 01-06 17:03:15, 0, Auto
3515.71, 1630.88, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9189.JPG, 01-06 17:03:15, 0, Auto
3516.01, 1631.73, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9190.JPG, 01-06 17:03:15, 0, Auto
3515.88, 1632.53, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9191.JPG, 01-06 17:03:16, 0, Auto
3516.88, 1632.97, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9192.JPG, 01-06 17:03:16, 0, Auto
3517.1, 1636.66, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9193.JPG, 01-06 17:03:16, 0, Auto
3516.94, 1635.49, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9194.JPG, 30-05 15:47:42, 0, Auto
3516.48, 1634.21, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9195.JPG, 30-05 15:48:12, 0, Auto
3516.46, 1633.28, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9196.JPG, 01-06 17:03:16, 0, Auto
3516.62, 1634.48, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9197.JPG, 01-06 17:03:16, 0, Auto
3516.09, 1634.1, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9198.JPG, 01-06 17:03:16, 0, Auto
3515.65, 1634.1, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9199.JPG, 01-06 17:03:16, 0, Auto
3522.38, 1634.55, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9200.JPG, 01-06 17:03:16, 0, Auto
3543.09, 1637.03, 57.28, 48.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9201.JPG, 01-06 17:03:16, 0, Auto
3558.58, 1641.19, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9202.JPG, 01-06 17:03:16, 0, Auto
3576.31, 1640.73, 58.42, 49.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9203.JPG, 01-06 17:03:16, 0, Auto
3590.46, 1642.89, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9204.JPG, 30-05 15:52:42, 0, Auto
3607.08, 1648.59, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9205.JPG, 30-05 15:53:12, 0, Auto
3623.8, 1650.81, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9206.JPG, 01-06 17:03:16, 0, Auto
3639.68, 1654.16, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9207.JPG, 01-06 17:03:16, 0, Auto
3656.73, 1656.66, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9208.JPG, 01-06 17:03:16, 0, Auto
3673.2, 1656.21, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9209.JPG, 01-06 17:03:16, 0, Auto
3689.64, 1659.06, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9210.JPG, 01-06 17:03:16, 0, Auto
3705.87, 1659.08, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9211.JPG, 01-06 17:03:16, 0, Auto
3721.68, 1658.96, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9212.JPG, 01-06 17:03:16, 0, Auto
3735.1, 1658.17, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9213.JPG, 01-06 17:03:16, 0, Auto
3750.45, 1657.83, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9214.JPG, 01-06 17:03:16, 0, Auto
3762.88, 1657.93, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9215.JPG, 01-06 17:03:16, 0, Auto
3775.45, 1657.72, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9216.JPG, 01-06 17:03:16, 0, Auto
3786.56, 1655.0, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9217.JPG, 01-06 17:03:16, 0, Auto
3798.52, 1654.55, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9218.JPG, 01-06 17:03:16, 0, Auto
3808.72, 1651.33, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9219.JPG, 01-06 17:03:16, 0, Auto
3818.85, 1648.33, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9220.JPG, 01-06 17:03:16, 0, Auto
3826.63, 1647.83, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9221.JPG, 01-06 17:03:16, 0, Auto
3833.99, 1645.31, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9222.JPG, 01-06 17:03:16, 0, Auto
3846.22, 1644.15, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9223.JPG, 01-06 17:03:16, 0, Auto
3854.13, 1643.07, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9224.JPG, 01-06 17:03:16, 0, Auto
3860.91, 1642.94, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9225.JPG, 01-06 17:03:16, 0, Auto
3870.01, 1641.51, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9226.JPG, 01-06 17:03:16, 0, Auto
3877.9, 1641.29, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9227.JPG, 01-06 17:03:16, 0, Auto
3885.95, 1640.86, 59.59, 50.94, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9228.JPG, 01-06 17:03:16, 0, Auto
3891.92, 1639.22, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9229.JPG, 01-06 17:03:16, 0, Auto
3899.52, 1638.74, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9230.JPG, 01-06 17:03:16, 0, Auto
3904.98, 1636.36, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9231.JPG, 01-06 17:03:16, 0, Auto
3912.7, 1634.59, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9232.JPG, 01-06 17:03:16, 0, Auto
3917.12, 1631.58, 60.78, 51.96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9233.JPG, 30-05 16:07:12, 0, Auto
3923.91, 1630.24, 62.0, 53.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\26\top\2\DSC_9234.JPG, 01-06 17:03:16, 0, Auto
