3533, 1631, 58, 74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4850.JPG, 01-06 16:41:24, 0, Start 
3533.56, 1631.67, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4850.JPG, 01-06 16:41:24, 0, Auto
3538.23, 1633.12, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4851.JPG, 03-06 16:37:57, 0, Auto
3534.51, 1631.63, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4852.JPG, 03-06 16:37:57, 0, Auto
3534.69, 1632.6, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4853.JPG, 03-06 16:37:57, 0, Auto
3534.18, 1633.26, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4854.JPG, 03-06 16:37:57, 0, Auto
3534.79, 1631.62, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4855.JPG, 03-06 16:37:57, 0, Auto
3533.99, 1632.03, 58.0, 74.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4856.JPG, 03-06 16:37:57, 0, Auto
3535.76, 1633.0, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4857.JPG, 03-06 16:37:57, 0, Auto
3536.25, 1634.45, 54.65, 69.73, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4858.JPG, 03-06 16:37:57, 0, Auto
3536.65, 1632.76, 55.75, 71.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4859.JPG, 03-06 16:37:57, 0, Auto
3538.64, 1632.58, 54.65, 69.73, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4860.JPG, 03-06 16:37:57, 0, Auto
3538.15, 1633.8, 55.75, 71.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4861.JPG, 03-06 16:37:57, 0, Auto
3539.76, 1633.62, 55.75, 71.13, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4862.JPG, 03-06 16:37:57, 0, Auto
3543.06, 1634.14, 58.0, 74.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4863.JPG, 03-06 16:37:57, 0, Auto
3549.56, 1634.36, 56.86, 72.55, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4864.JPG, 03-06 16:37:57, 0, Auto
3556.14, 1637.77, 58.0, 74.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4865.JPG, 03-06 16:37:57, 0, Auto
3556.45, 1632.55, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4866.JPG, 03-06 16:37:57, 0, Auto
3562.33, 1637.38, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4867.JPG, 03-06 16:37:57, 0, Auto
3564.05, 1638.98, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4868.JPG, 03-06 16:37:57, 0, Auto
3568.75, 1637.08, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4869.JPG, 03-06 16:37:57, 0, Auto
3573.75, 1639.71, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4870.JPG, 03-06 16:37:57, 0, Auto
3578.08, 1640.8, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4871.JPG, 03-06 16:37:57, 0, Auto
3580.59, 1642.11, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4872.JPG, 03-06 16:37:57, 0, Auto
3582.64, 1640.76, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4873.JPG, 03-06 16:37:57, 0, Auto
3586.94, 1643.78, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4874.JPG, 03-06 16:37:57, 0, Auto
3590.48, 1644.91, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4875.JPG, 03-06 16:37:57, 0, Auto
3594.25, 1645.35, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4876.JPG, 03-06 16:37:57, 0, Auto
3598.12, 1648.05, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4877.JPG, 03-06 16:37:52, 0, Auto
3600.16, 1648.01, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4878.JPG, 03-06 16:37:57, 0, Auto
3603.66, 1652.33, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4879.JPG, 01-06 16:55:54, 0, Auto
3605.63, 1651.15, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4880.JPG, 03-06 16:37:57, 0, Auto
3610.93, 1653.25, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4881.JPG, 03-06 16:37:57, 0, Auto
3614.85, 1652.28, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4882.JPG, 03-06 16:37:57, 0, Auto
3615.51, 1654.23, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4883.JPG, 03-06 16:37:57, 0, Auto
3619.63, 1655.49, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4884.JPG, 03-06 16:37:57, 0, Auto
3623.63, 1656.48, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4885.JPG, 03-06 16:37:57, 0, Auto
3627.64, 1659.5, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4886.JPG, 03-06 16:37:57, 0, Auto
3625.77, 1660.91, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4887.JPG, 03-06 16:37:57, 0, Auto
3628.68, 1658.9, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4888.JPG, 03-06 16:37:57, 0, Auto
3631.31, 1658.96, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4889.JPG, 03-06 16:37:57, 0, Auto
3633.83, 1659.43, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4890.JPG, 03-06 16:37:57, 0, Auto
3635.13, 1663.3, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4891.JPG, 03-06 16:37:57, 0, Auto
3640.73, 1662.56, 60.34, 76.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4892.JPG, 03-06 16:37:57, 0, Auto
3641.56, 1662.48, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4893.JPG, 03-06 16:37:57, 0, Auto
3645.66, 1664.15, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4894.JPG, 03-06 16:37:57, 0, Auto
3649.98, 1663.92, 61.55, 78.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\28\top\1\DSC_4895.JPG, 03-06 16:37:57, 0, Auto
