2572, 1760, 61, 89, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2360_CROPED.jpg, path time not found, 0, Start 
2982.0, 1452.0, 59.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2392_CROPED.jpg, path time not found, 0, Auto
2984.0, 1439.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2393_CROPED.jpg, path time not found, 0, Auto
2991.0, 1424.0, 59.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2394_CROPED.jpg, path time not found, 0, Auto
2997.0, 1408.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2395_CROPED.jpg, path time not found, 0, Auto
3001.0, 1396.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2396_CROPED.jpg, path time not found, 0, Auto
3007.0, 1381.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2397_CROPED.jpg, path time not found, 0, Auto
3009.0, 1366.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2398_CROPED.jpg, path time not found, 0, Auto
3011.0, 1353.0, 60.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2399_CROPED.jpg, path time not found, 0, Auto
3015.0, 1337.0, 59.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2400_CROPED.jpg, path time not found, 0, Auto
3018.0, 1324.0, 59.0, 86.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2401_CROPED.jpg, path time not found, 0, Auto
3018.0, 1309.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2402_CROPED.jpg, path time not found, 0, Auto
3024.0, 1292.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2403_CROPED.jpg, path time not found, 0, Auto
3026.0, 1279.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2404_CROPED.jpg, path time not found, 0, Auto
3025.0, 1263.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2405_CROPED.jpg, path time not found, 0, Auto
3026.0, 1250.0, 61.0, 89.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\116\top\1\2406_CROPED.jpg, path time not found, 0, Auto
