1535, 1606, 33, 38, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1314.jpg, 08-06 14:10:53, 0, Start 
1486.74, 1606.87, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1516.jpg, 08-06 14:10:27, 0, Auto
1485.87, 1606.58, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1518.jpg, 08-06 14:10:07, 0, Auto
1484.93, 1607.16, 33.66, 38.76, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1520.jpg, 08-06 14:10:27, 0, Auto
1484.32, 1607.39, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1522.jpg, 08-06 14:10:44, 0, Auto
1483.21, 1607.14, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1524.jpg, 08-06 14:10:51, 0, Auto
1482.17, 1606.79, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1526.jpg, 08-06 14:10:07, 0, Auto
1481.15, 1607.1, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1528.jpg, 08-06 14:10:07, 0, Auto
1480.55, 1606.63, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1530.jpg, 08-06 14:10:37, 0, Auto
1481.58, 1606.96, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1532.jpg, 08-06 14:10:07, 0, Auto
1481.38, 1607.0, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1534.jpg, 08-06 14:10:07, 0, Auto
1481.09, 1606.1, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1536.jpg, 08-06 14:10:19, 0, Auto
1479.24, 1606.19, 33.0, 38.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\4\1\2020-06-07_1538.jpg, 08-06 14:10:45, 0, Auto
