3600, 1414, 113, 163, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8351.JPG, 04-08 13:24:23, 0, Start 
3599.29, 1414.05, 113.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8351.JPG, 04-08 13:24:23, 0, Auto
3598.26, 1413.13, 115.26, 166.26, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8352.JPG, 04-08 13:24:15, 0, Auto
3598.28, 1412.79, 115.26, 166.26, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8353.JPG, 04-08 13:24:00, 0, Auto
3598.49, 1413.49, 115.26, 166.26, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8354.JPG, 04-08 13:24:15, 0, Auto
3599.27, 1416.73, 113.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8355.JPG, 04-08 13:24:15, 0, Auto
3605.2, 1419.3, 108.61, 156.67, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8356.JPG, 04-08 13:24:15, 0, Auto
3605.22, 1418.73, 113.0, 163.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8357.JPG, 04-08 13:24:15, 0, Auto
3608.18, 1421.04, 110.78, 159.8, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8358.JPG, 04-08 13:24:15, 0, Auto
3609.41, 1424.69, 108.61, 156.67, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8359.JPG, 04-08 13:24:00, 0, Auto
3617.45, 1426.39, 102.35, 147.63, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8360.JPG, 04-08 13:24:15, 0, Auto
3624.11, 1438.2, 100.34, 144.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8361.JPG, 04-08 13:24:15, 0, Auto
3626.22, 1437.91, 98.37, 141.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8362.JPG, 04-08 13:24:15, 0, Auto
3627.61, 1437.58, 98.37, 141.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8363.JPG, 04-08 13:24:15, 0, Auto
3628.91, 1434.19, 100.34, 144.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8364.JPG, 04-08 13:24:15, 0, Auto
3626.55, 1434.43, 102.35, 147.63, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8365.JPG, 04-08 13:24:15, 0, Auto
3628.85, 1431.46, 102.35, 147.63, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8366.JPG, 04-08 13:24:15, 0, Auto
3630.3, 1435.62, 98.37, 141.9, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8367.JPG, 04-08 13:24:15, 0, Auto
3661, 1436, 84, 277, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8367.JPG, 04-08 13:24:15, 0, Start 
3660.01, 1433.17, 85.68, 282.54, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8367.JPG, 04-08 13:24:15, 0, Auto
3663.08, 1433.68, 85.68, 282.54, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8368.JPG, 04-08 13:24:15, 0, Auto
3665.05, 1437.48, 84.0, 277.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8369.JPG, 04-08 13:24:15, 0, Auto
3663.98, 1432.72, 87.39, 288.19, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8370.JPG, 04-08 13:24:15, 0, Auto
3664.38, 1432.96, 87.39, 288.19, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8371.JPG, 04-08 13:24:15, 0, Auto
3665.37, 1433.11, 87.39, 288.19, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\47\Top\1\DSC_8372.JPG, 04-08 13:24:15, 0, Auto
