3586, 990, 55, 87, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8672.JPG, 02-05 15:13:04, 0, Start 
3585.94, 989.97, 55.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8672.JPG, 02-05 15:13:04, 0, Auto
3585.84, 988.54, 56.1, 88.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8673.JPG, 02-05 15:13:04, 0, Auto
3586.81, 988.37, 55.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8674.JPG, 02-05 15:13:04, 0, Auto
3583.59, 989.37, 56.1, 88.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8675.JPG, 02-05 15:13:04, 0, Auto
3585.65, 989.35, 55.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8676.JPG, 02-05 15:13:04, 0, Auto
3584.07, 990.43, 56.1, 88.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8677.JPG, 02-05 15:13:04, 0, Auto
3584.18, 989.44, 55.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8678.JPG, 02-05 15:13:04, 0, Auto
3586.38, 988.96, 53.92, 85.29, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8679.JPG, 02-05 15:13:04, 0, Auto
3588.51, 993.83, 51.83, 81.98, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8680.JPG, 25-04 19:17:34, 0, Auto
3586.72, 990.16, 53.92, 85.29, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8681.JPG, 02-05 15:13:04, 0, Auto
3586.92, 991.11, 53.92, 85.29, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8682.JPG, 02-05 15:13:04, 0, Auto
3586.33, 988.15, 56.1, 88.74, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8683.JPG, 25-04 19:19:04, 0, Auto
3586.5, 988.07, 55.0, 87.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8684.JPG, 02-05 15:13:04, 0, Auto
3585.05, 989.19, 53.92, 85.29, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\19\top\1\DSC_8685.JPG, 02-05 15:13:04, 0, Auto
