1132, 2007, 68, 98, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9135_CROPED.jpg, path time not found, 0, Start 
1132.0, 2007.0, 68.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9135_CROPED.jpg, path time not found, 0, Auto
1130.0, 2005.0, 71.0, 102.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9136_CROPED.jpg, path time not found, 0, Auto
1130.0, 2004.0, 72.0, 104.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9137_CROPED.jpg, path time not found, 0, Auto
1132.0, 2005.0, 69.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9138_CROPED.jpg, path time not found, 0, Auto
1132.0, 2006.0, 69.0, 100.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9139_CROPED.jpg, path time not found, 0, Auto
1133.0, 2007.0, 68.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9140_CROPED.jpg, path time not found, 0, Auto
1133.0, 2007.0, 68.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9141_CROPED.jpg, path time not found, 0, Auto
1133.0, 2007.0, 68.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9142_CROPED.jpg, path time not found, 0, Auto
1128.0, 2007.0, 68.0, 98.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9143_CROPED.jpg, path time not found, 0, Auto
1120.0, 2009.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9144_CROPED.jpg, path time not found, 0, Auto
1113.0, 2009.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9145_CROPED.jpg, path time not found, 0, Auto
1108.0, 2008.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9146_CROPED.jpg, path time not found, 0, Auto
1101.0, 2008.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9147_CROPED.jpg, path time not found, 0, Auto
1096.0, 2009.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9148_CROPED.jpg, path time not found, 0, Auto
1091.0, 2009.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9149_CROPED.jpg, path time not found, 0, Auto
1085.0, 2009.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9150_CROPED.jpg, path time not found, 0, Auto
1079.0, 2008.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9151_CROPED.jpg, path time not found, 0, Auto
1075.0, 2007.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9152_CROPED.jpg, path time not found, 0, Auto
1069.0, 2007.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9153_CROPED.jpg, path time not found, 0, Auto
1064.0, 2007.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9154_CROPED.jpg, path time not found, 0, Auto
1060.0, 2006.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9155_CROPED.jpg, path time not found, 0, Auto
1054.0, 2006.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9156_CROPED.jpg, path time not found, 0, Auto
1049.0, 2006.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9157_CROPED.jpg, path time not found, 0, Auto
1042.0, 2006.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9158_CROPED.jpg, path time not found, 0, Auto
1037.0, 2005.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9159_CROPED.jpg, path time not found, 0, Auto
1033.0, 2006.0, 64.0, 92.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9160_CROPED.jpg, path time not found, 0, Auto
1027.0, 2005.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9161_CROPED.jpg, path time not found, 0, Auto
1020.0, 2004.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9162_CROPED.jpg, path time not found, 0, Auto
1015.0, 2004.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9163_CROPED.jpg, path time not found, 0, Auto
1009.0, 2004.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9164_CROPED.jpg, path time not found, 0, Auto
1003.0, 2003.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9165_CROPED.jpg, path time not found, 0, Auto
999.0, 2003.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9166_CROPED.jpg, path time not found, 0, Auto
992.0, 2002.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9167_CROPED.jpg, path time not found, 0, Auto
988.0, 2002.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9168_CROPED.jpg, path time not found, 0, Auto
983.0, 2002.0, 64.0, 92.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9169_CROPED.jpg, path time not found, 0, Auto
976.0, 2002.0, 64.0, 92.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9170_CROPED.jpg, path time not found, 0, Auto
971.0, 2001.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9171_CROPED.jpg, path time not found, 0, Auto
965.0, 1999.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9172_CROPED.jpg, path time not found, 0, Auto
960.0, 1998.0, 67.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9173_CROPED.jpg, path time not found, 0, Auto
954.0, 1998.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9174_CROPED.jpg, path time not found, 0, Auto
947.0, 1997.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9175_CROPED.jpg, path time not found, 0, Auto
945.0, 1997.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9176_CROPED.jpg, path time not found, 0, Auto
940.0, 1998.0, 63.0, 91.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9177_CROPED.jpg, path time not found, 0, Auto
932.0, 1996.0, 65.0, 94.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9178_CROPED.jpg, path time not found, 0, Auto
927.0, 1996.0, 64.0, 92.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9179_CROPED.jpg, path time not found, 0, Auto
921.0, 1995.0, 64.0, 92.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\122\side\1\9180_CROPED.jpg, path time not found, 0, Auto
