3569, 1436, 97, 96, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0775.JPG, 23-06 13:20:04, 0, Start 
3568.97, 1436.03, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0775.JPG, 23-06 13:20:04, 0, Auto
3568.42, 1435.86, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0776.JPG, 23-06 13:20:04, 0, Auto
3568.54, 1436.15, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0777.JPG, 23-06 13:20:04, 0, Auto
3566.61, 1433.91, 100.92, 99.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0778.JPG, 23-06 13:20:04, 0, Auto
3566.9, 1433.59, 100.92, 99.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0779.JPG, 23-06 13:20:04, 0, Auto
3568.08, 1436.29, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0780.JPG, 23-06 13:20:04, 0, Auto
3567.02, 1434.76, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0781.JPG, 23-06 13:20:05, 0, Auto
3566.01, 1435.12, 100.92, 99.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0782.JPG, 23-06 13:20:05, 0, Auto
3567.2, 1435.28, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0783.JPG, 23-06 13:20:05, 0, Auto
3567.31, 1434.52, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0784.JPG, 23-06 13:20:05, 0, Auto
3567.23, 1434.91, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0785.JPG, 23-06 13:20:05, 0, Auto
3568.59, 1436.3, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0786.JPG, 23-06 13:20:05, 0, Auto
3567.35, 1435.26, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0787.JPG, 23-06 13:20:05, 0, Auto
3568.21, 1434.42, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0788.JPG, 23-06 13:20:05, 0, Auto
3568.12, 1435.0, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0789.JPG, 23-06 13:20:05, 0, Auto
3568.72, 1436.34, 97.0, 96.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0790.JPG, 23-06 13:20:05, 0, Auto
3567.53, 1436.01, 98.94, 97.92, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0791.JPG, 23-06 13:20:05, 0, Auto
3570.85, 1433.77, 102.94, 101.88, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0792.JPG, 23-06 13:20:05, 0, Auto
3577.19, 1426.99, 105.0, 103.91, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0793.JPG, 23-06 13:20:05, 0, Auto
3586.09, 1426.29, 105.0, 103.91, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0794.JPG, 23-06 13:20:05, 0, Auto
3592.62, 1423.59, 107.1, 105.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0795.JPG, 23-06 13:19:59, 0, Auto
3599.95, 1422.73, 107.1, 105.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0796.JPG, 23-06 13:20:05, 0, Auto
3607.44, 1420.75, 107.1, 105.99, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\33\top\3\DSC_0797.JPG, 23-06 13:20:05, 0, Auto
