3741, 1588, 66, 75, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8730.JPG, 22-06 16:50:19, 0, Start 
3741.06, 1587.86, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8730.JPG, 22-06 16:50:19, 0, Auto
3741.98, 1589.06, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8731.JPG, 22-06 16:50:19, 0, Auto
3741.54, 1589.52, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8732.JPG, 22-06 16:50:19, 0, Auto
3741.52, 1589.28, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8733.JPG, 22-06 16:50:19, 0, Auto
3741.71, 1588.61, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8734.JPG, 22-06 16:50:19, 0, Auto
3741.39, 1587.99, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8735.JPG, 22-06 16:50:19, 0, Auto
3741.52, 1588.84, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8736.JPG, 22-06 16:50:14, 0, Auto
3741.2, 1587.32, 68.67, 78.03, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8737.JPG, 22-06 16:50:19, 0, Auto
3741.7, 1589.79, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8738.JPG, 22-06 16:50:19, 0, Auto
3741.1, 1588.63, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8739.JPG, 22-06 16:50:19, 0, Auto
3740.1, 1587.97, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8740.JPG, 22-06 16:50:19, 0, Auto
3741.16, 1588.35, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8741.JPG, 22-06 16:50:19, 0, Auto
3740.44, 1586.99, 70.04, 79.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8742.JPG, 22-06 16:50:19, 0, Auto
3739.2, 1588.4, 68.67, 78.03, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8743.JPG, 22-06 16:50:19, 0, Auto
3739.05, 1586.79, 71.44, 81.18, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8744.JPG, 22-06 16:50:19, 0, Auto
3740.71, 1588.58, 70.04, 79.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8745.JPG, 22-06 16:50:19, 0, Auto
3739.22, 1587.99, 70.04, 79.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8746.JPG, 22-06 16:50:19, 0, Auto
3740.48, 1589.65, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8747.JPG, 22-06 16:50:19, 0, Auto
3741.11, 1590.54, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8748.JPG, 22-06 16:50:19, 0, Auto
3740.06, 1588.93, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8749.JPG, 22-06 16:50:19, 0, Auto
3740.03, 1588.86, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8750.JPG, 22-06 16:50:19, 0, Auto
3740.24, 1588.97, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8751.JPG, 22-06 16:50:19, 0, Auto
3740.51, 1588.3, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8752.JPG, 22-06 16:50:19, 0, Auto
3740.88, 1588.9, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8753.JPG, 22-06 16:50:19, 0, Auto
3741.28, 1588.6, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8754.JPG, 22-06 16:50:19, 0, Auto
3741.07, 1588.66, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8755.JPG, 22-06 16:50:19, 0, Auto
3740.9, 1588.56, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8756.JPG, 22-06 16:50:19, 0, Auto
3743.04, 1587.51, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8757.JPG, 08-06 17:51:22, 0, Auto
3740.0, 1586.16, 70.04, 79.59, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8758.JPG, 22-06 16:50:19, 0, Auto
3740.43, 1589.37, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8759.JPG, 22-06 16:50:19, 0, Auto
3741.61, 1588.49, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8760.JPG, 22-06 16:50:19, 0, Auto
3747.63, 1585.63, 67.32, 76.5, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8761.JPG, 22-06 16:50:19, 0, Auto
3755.35, 1582.03, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8762.JPG, 22-06 16:50:19, 0, Auto
3760.66, 1580.82, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8763.JPG, 22-06 16:50:19, 0, Auto
3767.88, 1577.13, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8764.JPG, 22-06 16:50:19, 0, Auto
3771.91, 1575.22, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8765.JPG, 22-06 16:50:19, 0, Auto
3777.23, 1574.53, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8766.JPG, 22-06 16:50:19, 0, Auto
3780.7, 1583.3, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8767.JPG, 22-06 16:50:19, 0, Auto
3787.23, 1588.13, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8768.JPG, 22-06 16:50:19, 0, Auto
3793.31, 1583.33, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8769.JPG, 22-06 16:50:19, 0, Auto
3799.51, 1577.76, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8770.JPG, 22-06 16:50:19, 0, Auto
3804.81, 1570.6, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8771.JPG, 22-06 16:50:19, 0, Auto
3810.55, 1565.62, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8772.JPG, 22-06 16:50:19, 0, Auto
3816.26, 1560.42, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8773.JPG, 22-06 16:50:19, 0, Auto
3821.4, 1555.96, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8774.JPG, 22-06 16:50:19, 0, Auto
3824.99, 1550.31, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8775.JPG, 22-06 16:50:19, 0, Auto
3832.07, 1546.66, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8776.JPG, 22-06 16:50:19, 0, Auto
3838.03, 1541.71, 64.71, 73.53, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8777.JPG, 22-06 16:50:19, 0, Auto
3841.48, 1535.58, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8778.JPG, 22-06 16:50:19, 0, Auto
3845.38, 1529.26, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8779.JPG, 22-06 16:50:19, 0, Auto
3849.96, 1525.93, 66.0, 75.0, C:\Users\Amir\Documents\PHD\Experiments\Force Measurements\Exp2_Pendulum\Measurements\29\top\2\DSC_8780.JPG, 22-06 16:50:19, 0, Auto
